entity,type
K Ponmudi,PERSON
Yashraj Singh,PERSON
Punjab State Power Corporation Limited,ORG
Pulpally,GPE
OBC,ORG
Kurichi,GPE
Ranjith Kumar,PERSON
Madan Pal,PERSON
Savaramma,PERSON
Arvind Narsikar,PERSON
Pariyur,GPE
"Fruit, Vegetable and Flower Growers Association’s",ORG
Rawat village,GPE
Binod Singh,DIR
Urban Retreat,ORG
Vishwajeet Singh,PERSON
Tea Board of India,ORG
Sadar,GPE
Hingoli,GPE
Kangeyam,GPE
the Joint Committee of Trade Union,ORG
Kulwant Singh Sandhu,POL
Vishal Gupta,DIR
MUMBAI,GPE
Rapar,GPE
Kotkasim,GPE
the Sanyukt Kisan Morcha,ORG
Universities Space Research Association,ORG
Yono,ORG
Nanakmatta,GPE
Hiriyur,GPE
N Vijayalakshmi,DIR
NCR,GPE
Safiabad,GPE
Marxist,ORG
Raval,GPE
The Poona Merchants’ Chamber,ORG
NASHIK,GPE
Rekha Arya,PERSON
Udham Singh Nagar,GPE
the Vidhan Sabha,ORG
Jeenath,PERSON
Pratap Vegal,PERSON
Damdami Taksal,ORG
Shajahanpur,GPE
St Joseph’s College,ORG
ML,ORG
The Akali Dal,ORG
RKMS,ORG
Balasaheb Patil,POL
Maharshinagar,GPE
Kodagu,ORG
Kule village,GPE
Raipur Rani,GPE
Shiv Sena,ORG
Punjabi,GPE
the Lower House,ORG
Rajesh Singh Bhadouria,DIR
Dugri,GPE
Randeep Surjewala,PERSON
Ranjeet,PERSON
Pilalda,GPE
Kejriwal,PERSON
Naik,PERSON
Avarani,GPE
Jeetendra Kumar Mahto,PERSON
TMC,ORG
Uttar Pradesh Power Corporation Limited,ORG
Farukkhabad,GPE
Adhir Chowdhury,PERSON
Udharwar Sanjaykumar Vithalrao,PERSON
Jitendra Patel,PERSON
Jayant,PERSON
Ajeez,PERSON
PCF,ORG
Parminder Singh,DIR
Mother Theresa University,ORG
Chandu Khamani,PERSON
Mehra,PERSON
Ramesh Kumar,PERSON
Siddipet,GPE
Harish Chauhan,PERSON
Jeewesh Kumar,DIR
Gehlot ha,PERSON
Brahmapuri,GPE
Nadda,PERSON
Chitkohra,GPE
K Selvaraj,POL
Maharashtra Aher,GPE
Guledi village,GPE
Shree Swami Samarth Engineering Company,ORG
BJP Kisan Morcha,ORG
Bangalore,GPE
Haryana Pashudhan Board,ORG
Chahal khap,PERSON
Sanjeev Kumar Balyan,POL
Jarod,GPE
Bareilly,GPE
K Angamuthu,PERSON
BSEB,ORG
Harchand Kaur,PERSON
", V Mercy Jeyarani",PERSON
R S Bharathi,POL
Hospet,GPE
The Kisan Congress,ORG
Jitendra Bhoi,PERSON
Baldev Singh Sandoha,PERSON
Delhi Police ’s,ORG
Khamani,PERSON
Jamjodhpur,GPE
Kranti,PERSON
Madhukant Garad,PERSON
Roy,PERSON
Diamond Harbour,GPE
Himmat Singh,DIR
Khargal,GPE
the State Bank of India,ORG
Bubbly Grewal,PERSON
Iglas,GPE
Gulkirat Kaur,PERSON
J,GPE
The Bharatiya Kisan Union,ORG
Jeet Singh,PERSON
Miss India,PERSON
Vij,PERSON
the American Sikh Council,ORG
D Narasimha Reddy,PERSON
Roshan Bheel,PERSON
the Sarvajatiya Khap,ORG
UPCSR,ORG
the National Capital Territory,GPE
The Grand Old Party,ORG
Gobind Singh,POL
Virender Kanwar,DIR
Kalasipalya,GPE
Kottayam,GPE
Thalaikombupudur,GPE
Salendri Devaiah,PERSON
Vineet Verma,DIR
Bhausaheb Patil,PERSON
Civil Society,ORG
Bhagvat Karad,PERSON
Anil Sharma,DIR
Yamunanaga,GPE
Bagmau village,GPE
Harpreet Singh Chabba,DIR
Ransinh,PERSON
Rajesh Verma,DIR
Kavlekar,PERSON
Udhagamandalam,GPE
Shravan Ingale,PERSON
Baldev Singh Walia,PERSON
Titarsi,GPE
Badal,GPE
Dipankar Datta,DIR
Solapur,GPE
R Doraikkannu,PERSON
Navada,GPE
Daltonganj,GPE
Srikakulam,GPE
All India Kisan Mazdoor Sangharsh,ORG
Farmers’ (Empowerment and Protection) Agreement of Price Assurance and Farm Services Bill,ORG
Finance,ORG
Bil,GPE
Dineshanand Goswami,PERSON
Pai village,GPE
MGNVY,ORG
C R Paatil,PERSON
Faizan,PERSON
Regina,PERSON
Allahabad,GPE
The Rajasthan BJP,ORG
NGO Hemkunt Foundation,ORG
Prahlad Singh Bharukhera,PERSON
Poulomi Estates Private Limited,ORG
Karatagi Rice Millers’ Association,ORG
Yalachagerebore,GPE
PSG Polytechnic,ORG
the All-India Kisan Sabha,ORG
Bamonmora,GPE
Shantanu Patil,PERSON
Sukhpal Singh,DIR
MRBSSL,ORG
Rahim Sindhi,PERSON
Velliangiri Uzhavan,GPE
Dipankar Bhattacharya,PERSON
the Union ministry ’s,ORG
Jaiveer Vala,PERSON
Kasa,GPE
Robusta,ORG
Fatehchand Bagla,PERSON
Mandeep,PERSON
NISHAD,ORG
KANPUR,GPE
Kailali,GPE
the Orthodox Church,ORG
Zia Ul,PERSON
Ratan,PERSON
Nahrosa village,GPE
Budhlada Sadar,GPE
All-India Kisan Sabha,ORG
Parwe,PERSON
Punnalal Kevat,PERSON
Indian Army,ORG
Anand Mahto,POL
Sirmaur,GPE
Kalicharan Suman,PERSON
C5 Infra,ORG
Windsor,GPE
Ajit Verma,DIR
UN Mehta Institute of Cardiology and Research Centre,ORG
Kisan Pratirodh Sabha ’,ORG
Kushwaha,PERSON
Harcharan Singh Bains,PERSON
Sheetal Saray,GPE
AIKSC,ORG
Kisan Federation,ORG
Vallabhbhai Patel,PERSON
Haryana,GPE
Shruti Haasan,PERSON
Kundu,GPE
Lingaraj Patil,PERSON
the Central Board of Direct Taxes,ORG
Hardeep Singh Nijjar,PERSON
IICT,ORG
Devipura,GPE
The Nagpur Municipal Corporation,ORG
Ganesh Upadhyay,PERSON
Manpade,PERSON
Gaighata,GPE
the Animal Husbandry Infrastructure and Development Fund,ORG
G Muthyalu,PERSON
CPI(M-L,ORG
the Punjab Alkalies and Chemicals Limited,ORG
Khanouri-Dabwali,GPE
Saurashtra,GPE
Narayanasamy Naidu,PERSON
BKU Rajewal,PERSON
Bhelupur,GPE
Noida,GPE
JAC,ORG
the CB-CID,ORG
Kadakdari village,GPE
Alamgir Alam,PERSON
Rajya Sabha,DIR
TOI,PERSON
Khandwa,GPE
Rameshwar Oraon,POL
TARAN,GPE
Ajay Hooda,PERSON
Mahendra Singh Tikait,PERSON
Dhari taluka,GPE
OPD,ORG
Government Multi-Specialty Hospital,ORG
Laxmibai Bhimrao Dadanje,PERSON
Santu Bodke,PERSON
Mufassil,GPE
Pilibhit-,GPE
B Srinivas Reddy,PERSON
F,ORG
Vartu,GPE
Arora,PERSON
Tankara,GPE
Tiruvanmiyur,GPE
Krishnamurti,PERSON
Sirsa,PERSON
Karkala,GPE
Pradeep Atri,PERSON
Santosh Dattarao Gawande,PERSON
Rokad,PERSON
Miryalaguda,GPE
USA,GPE
P T John,PERSON
Hasiru Sene,GPE
BTP,ORG
Vinoba Nagar,GPE
Raviraja Hegde,PERSON
GB Pant National Institute of Himalayan Environment,ORG
Anwar,PERSON
P Uma Maheswari,DIR
Satbiri Devi,PERSON
Gopi,PERSON
Kuberpur,GPE
Devendra Yadav,PERSON
Bajwa,PERSON
Union home ministry,ORG
G K Nagaraj,PERSON
Rajendra Prasad Central Agricultural University,PERSON
Subhir Puri,PERSON
Morcha,ORG
Jayendra Khuna Amaliyar,PERSON
Bhaichung Bhutia,DIR
T N Prathapan,PERSON
the Civil Aviation Ministry,ORG
RP Sharma,PERSON
Jasleen,PERSON
the Indian Air Force,ORG
Kulmeet Singh Bhalla,DIR
Nadu Tiruchi Siva,PERSON
SGPGI,ORG
Indira Gandhi,POL
Bijrad,GPE
Jagalur taluk,GPE
Neelampathi,GPE
Rodrigues,PERSON
Praveen Bansal,DIR
State Congress,ORG
Soundarajothi,PERSON
Chicago,GPE
Hingna,GPE
Aanaimaduvu,GPE
NIHSAD,ORG
S Suresh,PERSON
Jalpaiguri,GPE
Madan Mohan Jha,PERSON
", V Dakshinamoorthy",PERSON
Prajapati,PERSON
M Karunanidhi,DIR
Youth Akali Dal,ORG
Kajampur village,GPE
Indian Bamboo Forum,ORG
Jharoda Borders,GPE
Huccharayappa,PERSON
Nihangs,PERSON
John Paul II,PERSON
Kararwala village,GPE
Pokkali,GPE
Parmanandpur village,GPE
Bhagwat Doifode,PERSON
Rajiv Gandhi,POL
Sena,ORG
Adani Transmission Limited,COMP
Mandi Parishad,ORG
Jitu Charolia,PERSON
Kadu,PERSON
Aladiyur,GPE
International Charity Khalsa Aid,ORG
Pandit,PERSON
Uttara Kannada,GPE
KM Chaitanya’s,PERSON
Surat District Cooperative Bank,ORG
National Highways Authority of India,ORG
Deepak Shravan Jadhav,PERSON
Tirupur,GPE
Bhagat Singh,PERSON
Harshad Prabhudesai,PERSON
Lok Dal,ORG
P R Natarajan,PERSON
The Amritsar Poultry Industry Association,ORG
Gurinder Singh Warring,PERSON
Karimangalam,GPE
Saraberia,GPE
Laboratory,ORG
Sagar Naik,PERSON
Bathinda/Jind/Jalandhar/Patiala,GPE
Kathunangal,GPE
Kesarbai Gawli,PERSON
SBI G,ORG
Sonu Chaudhary,PERSON
Khirniyan,GPE
Anthony,PERSON
Alok Dubey,DIR
Babulal Marandi,POL
Lallan Singh,POL
Bhopalgarh,GPE
Kamani Venugopala Reddy,PERSON
Subhash Puranik,PERSON
NC,ORG
HYDERABAD,GPE
Tehsil,GPE
Ladwa,GPE
Najafgarh,GPE
Balwinder Gill,PERSON
Kasara Ghat,GPE
Sennanur,GPE
Dakshinamoorthy,PERSON
Kalwan,GPE
Kodaikanal,GPE
Sandip Pokale,PERSON
Y S Jaganmohan Reddy,PERSON
Kamal Patel,DIR
H S Phoolka,PERSON
Sri Guru Ravidas Sadhu Sampardai Society,ORG
Nayar,PERSON
Auras,GPE
the High-Powered Committee on Agriculture,ORG
Khidkiya,GPE
Ramdhar Singh,PERSON
the Maharashtra Metro Rail Corporation,ORG
Sunil,POL
Madinaguda,GPE
Narayan,PERSON
Lakhbir,PERSON
Delhi Police’s,ORG
Kangana Ranaut,PERSON
Rampura Phool,GPE
Neyamat Khan,GPE
Deomane,PERSON
Dehardun,GPE
non-NDA,ORG
YSRC,ORG
Bhote,PERSON
kinnow,GPE
Deepak Chauhan,PERSON
Prakesh Chand Sharma,DIR
CICR,ORG
INC,ORG
Rajapur,GPE
D Navaneethan Gopalakrishnan’s,PERSON
Jagatpur Jattan,GPE
Gadarpur,GPE
NGO People’s Watch,ORG
Sainath Meshram,PERSON
Balyan,PERSON
Deepak Prakash,DIR
Agriculture Produce Marketing Committees,ORG
Rajesh Tope,PERSON
Mallika,PERSON
Uttrakhand,GPE
Ramnagra,GPE
East Godavari,GPE
Jai Jawan Jai Kisan Sanghatna’s,ORG
Manjeet Singh,PERSON
non-BJP,ORG
Ramkrishna Dhavalikar,PERSON
Raju Reddy,PERSON
the Indian Agricultural Research Institute,ORG
Surendra Lamba,PERSON
IMF,ORG
Voice Trust NGO,ORG
Lovepreet Singh,PERSON
GLDC,ORG
BKU (Ekta Ugraha) Bhawanigarh,ORG
Anil Nandal,DIR
Maheshinder Singh Grewal,PERSON
Nadhori village,GPE
Arjun Borade,PERSON
Pradhan Mantri Kisan Samman Nidhi,ORG
Harinder Pal Kaur Bhutari,PERSON
Sukhbir Badal,PERSON
Gandevi,GPE
Jharkhand,GPE
Hafsa Khan,PERSON
The Tamil Nadu Small Tea Growers Industrial Cooperative Tea Factories Federation Ltd,ORG
Gandaulim,GPE
Yeotkar,PERSON
K Chandrasekhar Rao,POL
Dasoju Sravan,PERSON
Amit Khatri,PERSON
Bhuyar,PERSON
Boothalapuram,GPE
Abul Khurana,GPE
WTO,ORG
Raghunatha Babu,PERSON
Vrindavan,GPE
JEEViKA,ORG
Jagtar Bajwa,PERSON
the High Commission,ORG
the Armed Forces,ORG
Bharatmala,GPE
Harugeri,GPE
Crazy Beauty Salon,ORG
Rajas,GPE
Lalru,GPE
Bari Bujhia,GPE
Iqbal Singh,DIR
Har,PERSON
Barey village,GPE
Krishn,PERSON
Visakhapatnam,GPE
Sanjay Madhav,PERSON
Narmada Bachao,PERSON
Vela Ram Ghogra,PERSON
Broiler Poultry Farmers Association,ORG
Shiv Kumar Sharma Kakka,PERSON
Chaudi,GPE
the District Bar Association,ORG
Rythu Bandhu Samithi,ORG
Hansot,GPE
Bandyopadhyay,PERSON
SSP,ORG
Bhaskar Reddy,PERSON
Bijaura,GPE
Tikamgarh,GPE
Gharuan village,GPE
Anand Kumar,POL
Sakthi,ORG
Munderva,GPE
the Delhi Police,ORG
Census,ORG
Chowkiman,GPE
Terakanambi village,GPE
Digamabar Singh,PERSON
Sahni,PERSON
"AP Medical Education, Research Corporation",ORG
Sastra,PERSON
Chander Bhan,POL
New Delhi,GPE
SuMo,PERSON
PDA,ORG
Bhim Army,ORG
Jetpur,GPE
Central railways,ORG
Jugraj Singh,PERSON
Jawan,GPE
Jasp,GPE
the Mangalore University,ORG
Telangana Kisan,ORG
Rahul Gandhi’s,POL
Western Region Disease Diagnostic Laboratory,ORG
Instagram,ORG
World Bank,ORG
BV Krishna Rao,PERSON
Kalpana Soren,PERSON
Amritsar Rural,ORG
Karikalan,POL
Bhubaneswar,GPE
Vyant Singh,PERSON
D Arvind,PERSON
Kuldeep Singh Vaid,PERSON
Madurai,GPE
Sharad Pawar,POL
Bikaner,GPE
Periyakottai village,GPE
Akbarpur,GPE
Sharmila Pekhale,PERSON
Sanjivani,GPE
Ganpat Sadashiv Sangle,PERSON
Kurar,GPE
Vikarabad,GPE
Erode di,GPE
Suhwal,PERSON
