name,type
Kailas Jadhav,PERSON
COIMBATORE,ORG
Tilhar,GPE
Jaipur-Daulatpur Express,ORG
FAME,ORG
Devi,PERSON
the Punjab Mandi Board,ORG
Dantiwas village,GPE
Shivtare,PERSON
Coonoor,ORG
B S Salunke,PERSON
New Era Hospital,ORG
SC/ST,ORG
Contractors and Builders Association of Vidarbha,ORG
Rohit,PERSON
Gillad,PERSON
Nalla Nageshwara Reddy,ORG
Madan Kaushik,PERSON
Ranjodh Singh,PERSON
Nivar,ORG
"Dwarka, Noida",ORG
Harjit,ORG
Khanna-Malerkotla,ORG
Arun,PERSON
Mahasabha,ORG
Mohali-Chandigarh,ORG
MP Sales Corporation,ORG
Narendra,PERSON
Dixit,PERSON
Thuraiyur,ORG
Nachimuthu,GPE
NDA,GPE
Bhopal Mandi,PERSON
Burra Venugopal Goud,PERSON
Arvind Pandey,PERSON
Bhadohi,GPE
West Champaran,GPE
John Abraham,PERSON
Sojat,ORG
the Agriculture and Medical,ORG
Kashi Vishwanath,PERSON
Banmankhi,PERSON
Balvinder Singh,PERSON
GSSS,ORG
Nangloi,ORG
Harjinder,PERSON
Bojjala Dasaratha Rami Reddy,PERSON
CPR,ORG
Bank of Baroda,ORG
Shilpi Arora,PERSON
Mohidinpur,GPE
Priyanka,GPE
Chautala-Asa Khera,ORG
Govind Singh Dotasara,PERSON
Sree Padmanabhaswamy Temple,ORG
The Pune Municipal Corporation,ORG
matlab nahin,PERSON
Samanvay Samiti,PERSON
Ke,ORG
Gharaunda,PERSON
Omkar,ORG
World Wide Fund for Nature,ORG
Dera Sachkhand Ballan,ORG
Mool Chand Sharma,ORG
Adimali,GPE
Congress Working Committee,ORG
Charpokhari,PERSON
Dinesh Madhavrao Pawar,ORG
Tarn-Taran,ORG
Zuari Agro,PERSON
Baljinder Kaur,PERSON
the agriculture ministry’s,ORG
Shibu S Dev,PERSON
pad pao,PERSON
Naraingarh,ORG
Jitendra Sharma,PERSON
the Rashtrapati Bhawan,ORG
Morcha,ORG
GGI,ORG
Mangilal Bilot,PERSON
AAP,ORG
Diammonium Phosphate,ORG
Bundi Sadar,PERSON
Guhla Cheeka,GPE
Satish Kumar,PERSON
Khaser Bheri,ORG
Westminster Hall,ORG
Kalepadal,ORG
Ramesh Chand,PERSON
Committee for Rajasthan,ORG
House,ORG
millet yield,GPE
Magazine,ORG
TPCC,ORG
Jagroop Yadav,PERSON
Kootha,PERSON
Mandi Board,ORG
Ashish Mishra’s,PERSON
Saath Chale,PERSON
Rakhi Ravikumar,PERSON
Afzalgarh,PERSON
Pacs,PERSON
Chiranji Lal,PERSON
Laksar,PERSON
Bharatiya Kisan Sangharsh Samiti,ORG
Kalmana,GPE
Singh Mena,PERSON
Sajimon K Varghese,PERSON
Bhora Kalan,ORG
DLTC,ORG
Range Samrakshana Samithy,PERSON
Ramlila,PERSON
Shankar’s,PERSON
Warud,ORG
Bhaskar Reddy,PERSON
Vijay Shankar Dubey,PERSON
Dighavkar,PERSON
Gurpreet Singh Gill,PERSON
Vaccine ke liye kuchh bhi karega,PERSON
Kulbir,PERSON
Banerjee,ORG
NGO Foundation for Advancement of Agriculture and Rural Development,ORG
Telegram,GPE
Mahendra Singh Dhoni,PERSON
Farmers (Empowerment and Protection) Agreement of Price Assurance and Farm Services Act,ORG
the Cauvery Water Management Authority,ORG
the Corporation of the City of Panaji (CCP,ORG
Fatehgarh,GPE
The food ministry,ORG
A K Shanmugam,PERSON
Minapur,GPE
Birmingham,GPE
Mohgaon,ORG
Neermullikuttai,GPE
Vinay Singh,PERSON
Shiroda PHC,ORG
Ruchi,PERSON
Trinamool Congress,ORG
Tamil Nadu Protection of Interests of Depositors,ORG
Kondapochamma Sagar,PERSON
IBC,ORG
Shamspur,GPE
GRP,ORG
assembly,ORG
Ayushman,PERSON
Udit Raj,PERSON
Kheragarh,GPE
Krushak Sathi Yogana,PERSON
Dabholkar Corner,PERSON
Aggarsain Chowk,ORG
Dilip Buildcon,PERSON
NCRB,ORG
Shastri Nagar,PERSON
Bulara,GPE
Reeta Singh,PERSON
Rambabu Kateliya,PERSON
Raju Shetti,PERSON
Bangar,PERSON
Rs 2.75,ORG
Kamal Malhotra,PERSON
Jaspal Singh,PERSON
Ganganagar,GPE
Marayoor,ORG
Dhiwarwada,GPE
Girnar,ORG
Uttam Kundu,PERSON
Cham,PERSON
Raikot Mullanpur,GPE
the Basmati Export Development Foundation,ORG
Mohan Salpe,PERSON
Choutan,GPE
Amrita Kundu,PERSON
the Kisan Congress (Congress party’s,ORG
EWS,ORG
Jeeti Sidhu,PERSON
Radhakrishna,PERSON
Gmers Medical College,ORG
Union agriculture ministry’s,ORG
Munnar DFO,ORG
Mann Singh Patel,PERSON
Tindivanam,GPE
Mansa DC,GPE
Somdutt,PERSON
Discom,ORG
Pharwahi,PERSON
Devgn,GPE
Ravindra Birajdar,PERSON
K V Rajendra,PERSON
S Natarajan,PERSON
Kotbawadi,PERSON
Kripal Pal,PERSON
Ramku,GPE
Biloda,GPE
Ladakh,PERSON
Gopal Rao,PERSON
Negamam,GPE
Tewari,PERSON
Lasalgaon,GPE
Karur,GPE
Maharashtra Ajoy Mehta,PERSON
Nafed,PERSON
Chandigarh-Ambala,PERSON
Ashok Chavan,PERSON
Anirban Das,PERSON
Nalawade,PERSON
Chandel,PERSON
Navapur in Nandurbar,GPE
BENGALURU/ MYSURU/,PERSON
Kishore Tiwari,PERSON
Cantt,GPE
T Jeevan Reddy,PERSON
Vinod Thapar,PERSON
D Banumathi,PERSON
Kayamnagar,PERSON
CTRI,ORG
Noida MLA Pankaj Singh,PERSON
Taliban,ORG
SA Sampath Kumar,PERSON
Union,ORG
the National Education Policy,ORG
Augustine,PERSON
Gadgenagar,ORG
Neivasal,GPE
Ilango,ORG
the Gujarat Tenancy Act,ORG
Anand,GPE
Narmada,ORG
Gyan Chand Verma,PERSON
Surendra Kalia,PERSON
Sameli,GPE
Krishnamoorthy,PERSON
Kottavadi,GPE
Sukhbir,PERSON
Vidarbha Irrigation Development Corporation,ORG
Mohideen,PERSON
Jedhe-Deshmukh,ORG
mitti,PERSON
Mahindra Samruddhi India Agri Awards,ORG
Danghara,GPE
Sangeeta,PERSON
Motor Vehicle Act,ORG
Chakkar,PERSON
Ramana,PERSON
Nagaur,GPE
xShambharkar,ORG
Manalimukku,GPE
Xavier Almeida,ORG
Nilgais,PERSON
Jacob Abraham,PERSON
CJI N V Ramana,ORG
M.Phil,PERSON
the Anti-Methane Project Movement,ORG
Shyam Singh,PERSON
Mehmujoyia,GPE
Ayilai S Sivasuriyan,PERSON
Brackish Water Research Centre,ORG
ICAR - Central Coastal Agriculture Research Institute,ORG
Karnal Mandi,ORG
Chhoti,GPE
Bhokardan,GPE
Maharashtra State Road Development Corporation,ORG
Fateh Jung Singh Bajwa,PERSON
Jayant Patil,PERSON
Sunny Tomar,PERSON
Indrakaran,PERSON
the Deen Dayal Suraksha Bima Yojana,ORG
Kumaram Bheem,PERSON
Gajendra Singh Shaktawat,PERSON
Bhim Rao Ambedkar Jayanti,PERSON
Asida,ORG
Nilesh Pandya,PERSON
Daiyat Murjhal,PERSON
Animal,ORG
Harish Madkaikar,PERSON
Kavuthampalayam,PERSON
Raviraja Hegde,PERSON
Barosara,GPE
Mangalore Chemicals and Fertilisers,ORG
Amanda Cerny,ORG
Cortalim,GPE
the Ministry of Defence,ORG
Ranjit Singh Chautala’s,PERSON
"Khalistanis, Urban Naxalites",ORG
Baba Gurtej Singh,PERSON
Manjula,PERSON
Gandevi,ORG
Rupesh Kumar Singh,PERSON
Sanand,GPE
JJP,ORG
Tript Rajinder,PERSON
Pitambar Tore,PERSON
NH-58,GPE
paddy seedling transplantation,ORG
Shrikant Taral,PERSON
Goradaka,PERSON
the ‘Mission Uttar Pradesh,ORG
Kishanpura,PERSON
Sadashiv Shelar,PERSON
Rohtas,GPE
B S Yediyurappa,PERSON
JAIPUR:,ORG
Koirauna,GPE
Kattupalayam,PERSON
Kiran Kumar Vissa,PERSON
Union home ministry,ORG
Jihadis,GPE
Arrur,GPE
Rinkal Geriya,ORG
Lodipur,GPE
KCC,ORG
Ellenabad,ORG
Sadashiv Peth,PERSON
Subhan Shah,PERSON
Geeta Arun Mane,PERSON
Kartarpur Sahib,ORG
Kitlana Toll Plaza,PERSON
Anup Singh,PERSON
Vrinda Grover,PERSON
Rahul Puglia,PERSON
MMPSC,ORG
MoS,ORG
Kailas Bhosle,PERSON
Indian Doctors for Peace and Development,ORG
Radheshyam Kushwah,PERSON
Medica Superspeciality Hospital,ORG
Charuni,PERSON
UP Cooperative Union,ORG
International Growth Centre,ORG
CFR,ORG
Ganga,PERSON
Dakha MLA Manpreet,PERSON
Dhanegaon,GPE
All Farmers Association's,ORG
V Vijeeshna,PERSON
Pachamalai,ORG
the Export Strategy of Goa,ORG
the Kovai Flower Traders Association,ORG
Unorganised Sector Workers Welfare Board,ORG
Jola,PERSON
Jayalakshmi,ORG
Sarandon,GPE
Chanpura,PERSON
Manila,GPE
Lahore,GPE
"Talala, Veraval",GPE
BJP MP,ORG
Ganna Sangharsh Samiti,PERSON
Devy,PERSON
Central Zoo Authority,ORG
Jhammat,GPE
Sadiq,GPE
Mahila Kisan Committee,ORG
Shanthi Engineering,ORG
Sikh Coalition’s,ORG
Indonesia,GPE
plo,ORG
Resham Singh Yatri,PERSON
Rajesh Oraon,PERSON
P Jayamma,ORG
Surajpur,GPE
VCK,ORG
Suraj Prakash Sharma,PERSON
the National Innovation Foundation,ORG
Baroda Meo,PERSON
Rythula Aikya Vedika,PERSON
Pariyojana,PERSON
M Srinivas Reddy’s,PERSON
Neeraj Kundan,PERSON
Balaji Kendre,PERSON
Janmanch,PERSON
Mutha,GPE
Dheerpura,GPE
Pune Khed,PERSON
Bharatiya Kisan Union,ORG
Mancurad,GPE
Sanjay Gurjar,PERSON
Gandevi Canning Factory,PERSON
TATR,ORG
Purnia Kisan Sangharsh Samanvay Samiti,ORG
Gurwinder Singh,PERSON
Umrane,GPE
Nuzividu,PERSON
SKM Vikas Sisar,ORG
Kadeshwalya,GPE
Parrikar,PERSON
Manguirish Pai Raikar,PERSON
Meghalaya,ORG
Atul Pradhan,PERSON
Narela,ORG
Ramkrishna ‘Sudin’ Dhavalikar,PERSON
King George’s Medical College,ORG
Ambadas Deomane,PERSON
Gafoor Qureshi,PERSON
Justices A M Khanwilkar,ORG
Wainganga,GPE
JK Maheswari,PERSON
Merwin Fernandes,PERSON
Babu Gamara,PERSON
Bhartiya Kisan Sangh Rajkot,ORG
Kumar Mishra,PERSON
Rajendra Jadhav,PERSON
Mandadam,GPE
KV Rajendra,PERSON
Narendra Modi ’s,GPE
Trichy Siva,PERSON
Khurmar Singh,PERSON
Lalmani,ORG
Banna Gupta,PERSON
Lusala village,GPE
Armyman,GPE
Tiranga,PERSON
Vasu,PERSON
Baba Bakala,GPE
Rattan Singh Ajnala,PERSON
Manjri-Phursungi,ORG
the Environment Pollution Control Authority,ORG
Somnath Tambe,PERSON
Mandi Bachao-Kheti Bachao,PERSON
Holi,PERSON
Peddur,PERSON
Chinnakanur,GPE
HAVERI,ORG
Shamsuddin,ORG
the Indian Army,ORG
Tehsil,GPE
C Praveen,PERSON
Illinois,GPE
Chandrakant Kavalekar,PERSON
Desiya Thenninthiya Nathigal Inaippu Vivasayigal Sangam,ORG
Kerala,PERSON
Meerut,ORG
Hosahalli,GPE
QRT,ORG
Washim,GPE
Saini,GPE
Rajasthan Olive Cultivation Ltd,ORG
Satnam Singh Ajnala,PERSON
Saudi Arabia,GPE
Tankara,GPE
Digamabar Singh,PERSON
Khergarh,GPE
Farmers Produce Organisations,ORG
Nirlipt Rai,PERSON
SI Vipin Kumar,ORG
Alex Ellis,PERSON
Jayaprasad B,PERSON
Arjun Paghdar,PERSON
FDO,ORG
Deolali Camp,ORG
Ramu,PERSON
Khanna,ORG
Firing Katta,ORG
Ajay Kumar Singh,PERSON
Kalyandurg,GPE
Jaikisan Andolan,PERSON
Sarv Khap,PERSON
"Thane, Parbhani",GPE
Tokyo,GPE
Pumpkin,GPE
Ara Arularasu,PERSON
Ram Nath,PERSON
MVA,ORG
Samathur,ORG
Jivte,ORG
Reddipalayam,ORG
Vivek Prakash,PERSON
Hoshangabad,GPE
Kumar Jaiswal,PERSON
Kedarotthana Trust,ORG
Naliya,GPE
Indian Farmers Association,ORG
Bills,PERSON
Gajraula,GPE
Mangal Singh,PERSON
Pankaj Shah,ORG
Haryana Pashudhan Board,ORG
Jhunjhunu,GPE
Knee Arthroscopy,PERSON
Shaikh,PERSON
Indira Gandhi Government Medical College and Hospital,ORG
pro-Khalistan,ORG
Mullaperiyar,GPE
Bijender Sandhu,ORG
P Veerasamy,ORG
Defined Contribution Pension Scheme,ORG
DK Thakur,PERSON
Kisan Sabha Shamsher Singh Numberdar,PERSON
Nasa,ORG
the Naada Habba,ORG
Softa,GPE
Jaspal Bangar,GPE
Jaswir Singh,PERSON
MCCI,GPE
Divyang,GPE
Gourd,PERSON
Vadavalli,PERSON
Khair,ORG
Fatehsinh Bariya,ORG
Parganas,GPE
Akali Dal (Badal,PERSON
Apollo Hospital,ORG
Kargil Chowk,ORG
Abhay,ORG
Palamu,PERSON
Taiyyab,PERSON
PI H M Gadhvi,ORG
Pratappura,ORG
Ayub Khan,PERSON
Ananthagiri,GPE
AITUC,PERSON
Tadikonda,GPE
Jaigaon,GPE
Thangadh,GPE
Delhi Chalo,ORG
ko kuchla,PERSON
Sanjaynagar Pratham,PERSON
Raj Bhavan,PERSON
the Punjab Kisan Union,ORG
Dongrim-Neura,ORG
DGP Shivanand Jha,ORG
the Common Admission Test,ORG
Kheri,PERSON
Att,PERSON
Grewia,ORG
Suresh Nadda,PERSON
Nuakhai,GPE
Nunna,GPE
Badegurda,PERSON
Kisan Adhikar,PERSON
Kuruburu Shantakumar,PERSON
Seminar,PERSON
Christopher,PERSON
millet,PERSON
the Goa Pradesh Congress,ORG
Nankana Sahib,ORG
Roshni Sehrawat,PERSON
Harni,GPE
Basha,ORG
Matric,ORG
GB Pant University of Agriculture & Technology,ORG
Mulug,GPE
Uchana Kalan,GPE
The Bihar Pradesh Congress Committee,ORG
the Office of the Prime Minister,ORG
Ramanagar,PERSON
Kathirpatti,GPE
Anjali Singh,PERSON
Bharuch Zilla Khedut Samaj,PERSON
Ramkumar,PERSON
Invertis,PERSON
Tiroda,PERSON
Sankaranar Kudikadu,GPE
Sakshi Sharma,PERSON
the Brihanmumbai Municipal Corporation,ORG
Siva Reddy,PERSON
Tamilaga Cauvery Vivasayigal Sangam,ORG
Ravi Boratkar,PERSON
Sagar Rabari,PERSON
Mettukadau near M Thottipalayam,ORG
Primus,PERSON
Kuldeep Tyagi,ORG
Government of India,ORG
Uttam,ORG
oxen,GPE
Induraj Narwa,PERSON
Bhakt Charan Das,PERSON
Gastro Care Hospital,ORG
Hudkeshwar,ORG
EDMC,ORG
Sandip Meda,GPE
Vaghnagar,GPE
Maharajganj,PERSON
Mirror Now,ORG
Shrish Chandra,PERSON
Central Ayurvedic Research Institute,ORG
Kumar Jyani,PERSON
KAU,ORG
Lucknow’s Eco Garden,ORG
Roy,PERSON
Mahendergarh,PERSON
Tanisht Chaturvedi,PERSON
Pathri,PERSON
Sambhal,GPE
Edappadi Palaniswami,PERSON
Bhudla village,GPE
Valpoi,ORG
Formula One,ORG
Supaul-Madhepura,ORG
Erode,ORG
Bharatiya Kisan Sangh,ORG
Jagdeep Sehgal,PERSON
Sahayta Kendra,PERSON
Kushaiguda,ORG
"Mahindra, Escorts and",ORG
Britishers,ORG
BSNL,ORG
PTI,ORG
Tumakuru,GPE
Surajwadi,GPE
the Sabarkantha District Consumer Dispute Redressal Forum,ORG
Krishn,GPE
Arun Pratap Singh,PERSON
Hubballi,ORG
Kamboj,PERSON
Sardar Katna Singh,PERSON
Kishan Reddy,PERSON
Yogi Adityanath,PERSON
the Pagdi Sambhal Diwas,ORG
Nauli,ORG
Vijayan,ORG
Vanpuri,GPE
Praveen P Nair,PERSON
Jamner,PERSON
Ramuk,PERSON
Kala,PERSON
National Agricultural Cooperative Marketing Federation of India Ltd.(NAFED,ORG
Jejuri,GPE
Haritlal Meena,PERSON
Palekar,GPE
Singur MLA,PERSON
Thallada,GPE
Mahalgaon,PERSON
Sunil Raigar,ORG
V Yedukondalu,PERSON
Vyant Singh,PERSON
Sai Kumar,PERSON
Stray,PERSON
Bassiyan,GPE
South Gujarat,GPE
GMCH,ORG
The Life Line Foundation,ORG
Kondapak,ORG
Noorwala Chowk,ORG
Pollikalipalayam,GPE
SKMM,ORG
Lakshadweep,GPE
Ratnakar Gutte,PERSON
Housing Board,ORG
National Institute of Engineering,ORG
S Ram Singh Bedi,ORG
Ghatan Devi,PERSON
Dr Bharat Salvi,PERSON
Raju Bhabhor,PERSON
Ratan Nayak,PERSON
Bhagora,GPE
Lale Khan,PERSON
Raigad,GPE
State,ORG
Jetpur,GPE
Bijti,PERSON
Jeetpura,GPE
Bari Doab Canal Act,PERSON
Shettali Sangareddy,PERSON
CIL,ORG
AMRITSAR,ORG
Boothalapuram,ORG
PAU Teachers Association,ORG
Gangakhed Sugar and Energy Pvt Ltd,ORG
TN Srinivasan,ORG
Ambabari,PERSON
Bhagalpur,GPE
Chandrakant ‘Babu,PERSON
Homeland Security,ORG
Saban Bazaar,PERSON
Kamala Harris’s,PERSON
bang thalis,PERSON
Mathipalayam,PERSON
Cyclone Yaas,PERSON
Surmukh Singh Virk,ORG
Jal Jivan Hariyali,PERSON
Behrampur Chowk,ORG
Delhi Dehat,PERSON
Laxmi Nagar Zone,GPE
Farmer Producer Organisation,ORG
Sarguru,GPE
"this,'Bhoomi Suchitran Abhiyan'",ORG
Burevi,PERSON
Navagam,GPE
the suo motu public interest litigation,ORG
N Bhasurangan,PERSON
Haafoz,ORG
Sukki,GPE
Don Bosco,PERSON
Deori,ORG
Sidharth Nath Singh,PERSON
K S,PERSON
Gannon Dunkerley & Company Limited,ORG
MLA Arumugam,ORG
Amaresh Baghel,PERSON
Dhayari,GPE
paddy transplantation,PERSON
Sujataa Vijayakumar's,PERSON
Alok Agarwal,PERSON
Alappuzha,ORG
Kourtney Kardashian,PERSON
Shahroz Anwar,PERSON
Amit Kala,PERSON
Awadhesh Kumar,PERSON
Claudia Webbe,PERSON
the Yavatmal-Wardha,ORG
Delhi Dedicated,PERSON
Mayo Hospital,ORG
Deeg,PERSON
Nipani,GPE
Fatehpur Jat,PERSON
DCF KM Gamanagatti,ORG
LD Gamara,PERSON
Japan Singh,PERSON
Chinnadurai,PERSON
the Line of Control,ORG
Sugarcane Research Station,ORG
Bhagyaraj B,PERSON
Harendra Malik,PERSON
Hapur,ORG
YSRC Rajya Sabha,PERSON
Himanshu Tiwari,PERSON
Inqualabi Kendra Punjab,ORG
"Kanke , Rahe, Maheshpur Chirudih",ORG
Pomburpa,PERSON
Ghodbunder,ORG
Digambar Kamat,PERSON
Rashtriya Lok Dal,PERSON
Jal-Jivan-Hariyali,PERSON
K-Nagar,ORG
Kasinathan,PERSON
Ratnakar Rout,PERSON
Civil Court,ORG
Panchmahals,ORG
Farmers Produce Trade and Commerce (Promotion and Facilitation) Ordinance,ORG
Kala Academy,ORG
MLA Mihir Kotecha,PERSON
Daun Kalan,GPE
Borala,GPE
Muktsar,ORG
Nirbhay Singh Dhudike,PERSON
Sasitheh,GPE
Shriram Shete,GPE
Vasanth Barnad,PERSON
Avinash Pandey,PERSON
Sampathipuram,GPE
Amroha,GPE
Raj Yadav,PERSON
Tandur,PERSON
Kadva,ORG
Bela,PERSON
Udhyog Nagar,ORG
Buha,PERSON
Uniyal,ORG
Raipur Rani,PERSON
Yogeshkannan,GPE
Ekta-Ugrahan,ORG
Sunil Malusare,ORG
Solapur,GPE
the Alipur SHO,ORG
Avocado,GPE
Anjangaon,PERSON
Manoj Tyagi,PERSON
Pratik Patel,PERSON
Sirsa,ORG
Pradesh Congress Committee,ORG
Mahatma Gandhi National Rural Employment Guarantee Act,PERSON
Shaheed Kartar Singh Sarabha,ORG
Institute of Himalayan Bioresource Technology,ORG
stal,ORG
Pappu Singh,GPE
Manish Chauhan,PERSON
Priyanka Singh,PERSON
Chinthamani,ORG
Savoi-Verem,ORG
Mithlesh,PERSON
Reserve Bank of India,ORG
Mysuru-Bengaluru Expressway,ORG
D G Belhekar & Co.,ORG
Pravee,ORG
Bundelkhand,PERSON
Dundhyakhedi,GPE
Sikh Gurdwara Prabandhak Committee,ORG
Fungal,GPE
Moga,GPE
Shoolagiri,GPE
Gurnam Singh,PERSON
Saboli,GPE
Khandwa,GPE
LoP,GPE
Dhananja,GPE
Dr Nita Khandekar,PERSON
Sakthi,ORG
Gidderbaha,GPE
Carmona,GPE
Mohammed Ali Shabbir,PERSON
Pvt Ltd,ORG
The Kisan Kranti Rath,ORG
Vasundhara,PERSON
Raipur Jattan,GPE
Anita More,PERSON
Vinod Barve,PERSON
Lakhimpur Kheri/Lucknow,PERSON
Khunti,GPE
JSERC,ORG
the National Commission of Farmers 2006,ORG
Umesh Chandra,PERSON
DILR,ORG
"T Pettai, Musiri",ORG
the Budget,ORG
National Centre For Aquatic Animal Health,ORG
Prakash Viplav,PERSON
Rina Roy,PERSON
Sardara Singh Johal,PERSON
Kacholiya,ORG
Kakdui village,GPE
F Suresh,ORG
Devendra Pincha,PERSON
the Yamuna Expressway,ORG
Dr Feza,ORG
Khemlal Mahto,PERSON
Sattari,GPE
Paul Pandian,PERSON
Madathukkulam,GPE
Fair and Remunerative Pricing (FRP,ORG
Dalwai,GPE
Egypt,GPE
Rana,ORG
Manoj Jain,PERSON
Kamal Haasan,PERSON
Goa Shankar Gaonkar,PERSON
Vijay Bahadur Singh,PERSON
Abisheka Kattalai,PERSON
Arun Maharaja,PERSON
the Minimum Support Price,ORG
the All-India Swaminathan Sangharsh Samiti,ORG
KC Prashantkumar,PERSON
Achalpur,PERSON
Premjith,ORG
Rashtrapati Bhawan,PERSON
Nilgiris Small,PERSON
the Swabhimani Shetkari Sanghatana Raju Shetti,ORG
Lal Kothi Mandi,ORG
102nd,GPE
Goa,ORG
Chaman Lal,PERSON
Navsari,PERSON
Rao for Hyderabad-Rangareddy-Mahbubnagar,PERSON
Chakka,PERSON
Antony P P Vettiyankal,PERSON
Jharkhand Milk Federation,ORG
Guru Gobind,ORG
Avinash Deshpande,PERSON
Indra,PERSON
Selvakumar,PERSON
Vellimalaipattinam,GPE
VHA,ORG
MLA Baljinder Kaur,PERSON
Pehowa,GPE
Kolara,GPE
Kamal Nath’s,PERSON
Mohali,GPE
the Group of Ministers,ORG
Rajesh Daga,PERSON
Singh Bilaspur,PERSON
Prabhu Deva 's ',GPE
Kozhijampara,GPE
Albertina Almeida,ORG
e-National Agriculture Market,ORG
Sudhakar,PERSON
Aranthangi,PERSON
P Baskar,ORG
Ahuja,PERSON
Javadekar sa,PERSON
Rashtriya Muslim Morcha,ORG
Patnem-Colomb,ORG
Bithri Chainpur,GPE
Covid Care Centres,ORG
Noor Mahal,ORG
RPF,ORG
Jai Jawan Jai Kisan Shetkari Sanghatna’s,PERSON
Agra NH-2,ORG
Sarmoli,GPE
Biswas,ORG
Asha,PERSON
All India Kisan Sangharsh Telangana State Convention,ORG
kala kanoon',PERSON
Krishnamurti,PERSON
COVID-19,ORG
Bhavani,ORG
Paderu,GPE
Neri Rodrigues,PERSON
Chadha,PERSON
Srinivas Sridharan,PERSON
Alapur,PERSON
Arshia,PERSON
Jaipur-Delhi,GPE
Bhanu Prakash,PERSON
Tohgaon,PERSON
Harinder Singh Lakhowal,PERSON
The Dalawai Committee,ORG
Thacker,PERSON
Shamli,GPE
Jogulamba Gadwal,ORG
The Capital Region Development Authority,ORG
Rajasthan Khadya Padarth Vyapar Sangh,ORG
Abhel and Ranjeet,ORG
conn,GPE
Reliance,ORG
Hanumanthu,ORG
BJP MLA Arun Narang,ORG
Gurpreet Singh Gopi,PERSON
