entity,type
Jojva,GPE
Ekta Sidhupur,GPE
Rajiv Dutta,PERSON
Daljit Singh Cheema,POL
Raibag,GPE
Jagir Singh,POL
Shambu,GPE
Bhavesh Patel,POL
R Rajesh Kumar,PERSON
National Institute of Technology at Trichy,ORG
Sanjay Krishna,PERSON
Bandra,GPE
Eknora,GPE
Vijay Krishna Redekar,PERSON
Ashwani Kumar,PERSON
Ambarsar,GPE
Harjinder Singh Baggi,DIR
Nalla Gounder,PERSON
Tadegaowadi,GPE
Kalpana Wadhai,PERSON
Paderu,GPE
Rishipal Ambawata,PERSON
Shola Ram,PERSON
Shashikant Shinde,PERSON
the Indian Institutes of Technology,ORG
Shivampet,GPE
Delhi Development Authority,ORG
Vijay Kumar Choudhary,POL
Axis Bank,ORG
Dattatray Kalamkar,PERSON
Mahesh Pawar,PERSON
Patiala,PERSON
Subrata Mukherjee,POL
Purattasi,GPE
RB Kaul,PERSON
Darshan Pal,DIR
Ashok Gehlot,POL
Nagpur,GPE
Mekedatu,GPE
Gurudas Majhik,PERSON
Kuriyanpurwa,GPE
Saheb Singh Sekhon,PERSON
Manish More,PERSON
B Pandiarajan,PERSON
Kissan Sammaan,PERSON
Gutte,PERSON
Bannur,GPE
Khedut Ekta Manch,ORG
Nazar Malik,PERSON
Enforcement Directorate,ORG
Kishor Ahir,PERSON
Sonu Chaudhary,PERSON
Ratan Nayak,PERSON
Gurudwara Rakabganj,GPE
Palpur,GPE
Nilgiris,GPE
Robert Vadra,PERSON
Worli,GPE
Sonsai,PERSON
Shyoraj Singh,POL
Suresh Jain,DIR
Mahadev,POL
Hemangi Patel,PERSON
UMC,ORG
Singhu,PERSON
Vineet Kumar,DIR
Gaondongrem,GPE
Biharilal,GPE
Madhya Pradesh’s,GPE
Davanager,GPE
Pratappura village,GPE
T Madhavan,PERSON
Bastar,GPE
Sanjay Kumar Jaiswal,DIR
C Munianathan,PERSON
Ochlandra,PERSON
Mukne,GPE
Siddhesh Jamdade,PERSON
Palus,GPE
Kolse-Patil,PERSON
Digamabar Singh,PERSON
Ravikumar,DIR
VAOs,ORG
R Sudhakar,PERSON
IMA,ORG
CamScanner,ORG
Purana Bazaar,GPE
Ku Ramakrishnan,PERSON
ST Somashekhar,PERSON
Pajawa village,GPE
K R Nagar,GPE
K Anand,PERSON
Anandraro Raut,PERSON
Parthiban,POL
Nagpur Municipal Corporation,ORG
Paota,GPE
Ravaliya,PERSON
Najeer Ahmed Makandar,PERSON
Congres,ORG
B S Suresh,PERSON
Jangampally,GPE
Kala,PERSON
Saini,GPE
ITI,GPE
the Punjab,ORG
Somarasampettai,GPE
JNU,ORG
HUDA,ORG
Afzal,PERSON
Gadag,GPE
Bishnoi,PERSON
Central,GPE
Chandra Babu Naidu,PERSON
Lyangda,GPE
BWRC,ORG
Sanjay R Bhoosreddy,PERSON
Nachhater Baidwan,PERSON
Azam,PERSON
CHAND IGARH:,GPE
Lakkha Singh,POL
N K Tated,PERSON
Police,ORG
Jaik Kisan Andolan,ORG
Lok Bhalai Insaf Welfare Society,ORG
Dahanukarwadi,GPE
Manappuram Constructions and Properties Limited,ORG
Rythu Swarajya Vedika,PERSON
Saravjit Kaur Manuke,PERSON
Sanjaynagar Pratham,GPE
FSL,ORG
Trichy city,GPE
Chandrashekhar Azad,PERSON
Myanmar,GPE
Bantwal,GPE
Uday Prabhudesai,PERSON
Parneet Kaur,DIR
Kataunja,GPE
Nagaraj Daivajna,PERSON
the National Biodiversity Authority,ORG
Pandya,PERSON
Chourai,GPE
Rythu Bharosa Kendras(RBKs,ORG
EPS,PERSON
Devendra Pincha,PERSON
Munneru,GPE
Devendra Gawas,PERSON
Ravalpura village,GPE
Arjun Kapoor,DIR
Bengal Congress,ORG
Ambilal Pandhare,PERSON
Pratik,PERSON
Velhe,GPE
K R Rathinasamy,PERSON
Rishikesh,GPE
Rameshwar Oroan,POL
Disha Ravi,PERSON
Kamal Nayan Kabra,PERSON
Umarani,PERSON
Wahab Ahmad,PERSON
Bhavna,PERSON
Siroli,GPE
Muhana Mandi Phal And Sabji Association,ORG
NGO,ORG
Vasva,GPE
Unn,GPE
GIPARD,ORG
Koregaon Park,GPE
Pargi,GPE
the Nashik,ORG
Surjit Kumar Jayani,PERSON
the Navsari District Consumer Dispute Redressal Commission,ORG
Poultry Farmers and Breeders’ Welfare Association,ORG
Haribhau Bagde,PERSON
the animal husbandry department,ORG
Om Parkash Dhanka,POL
Lasedi,GPE
Bilaspur,GPE
Budha Dal Nihang,GPE
Lalji,POL
Joida taluk,GPE
Rohle village,GPE
Maruti Laxman Navaskar,PERSON
Tupkar,PERSON
Anjali Singh,DIR
D Jenarajani,PERSON
Ram Singh’s,PERSON
Mahatma,PERSON
Krishna Water Dispute Tribunal-1,ORG
Dadaji Fusey,PERSON
Bhag Singh,DIR
Savani,ORG
Mahindra Park,GPE
Sri Venkatachalapathy Alloys,ORG
Jamat Shaikh Shabbir Fidvi,PERSON
RCS L Subramanian,ORG
Radhapuram,GPE
Himmatnagar Hospital,ORG
Nagesh Kal,PERSON
Harish Chauhan,PERSON
Pappu Singh,PERSON
Gursher,PERSON
Shanthi Engineering and Trading Co,ORG
the Sugarcane Growers’ Association,ORG
Anjangaon,GPE
Baran,GPE
Kudappanakkulam,GPE
Dighal village,GPE
Gurdial Singh,DIR
Jai Jawan,PERSON
Jamner,PERSON
Jadeja,PERSON
Surmeet Mavi,PERSON
Vijoo Krishnan,PERSON
Zarifnagar,GPE
the Supreme court,ORG
Shaikh,PERSON
Thiruverumbur union,GPE
Uptela village,GPE
Cabinet,ORG
Khattar,PERSON
Akhil Bhartiya Kisan Mahasabha,ORG
the Electricity Regulatory Commission,ORG
Neelam,POL
Amol Gorhe,PERSON
G Neelamegam,PERSON
Jagtar Singh Kalajhar,PERSON
Depalpur,GPE
Alpesh Parmar,PERSON
Manohar Parrikar,POL
Krantikari Kisan Union,ORG
Bhamini,GPE
CCSHAU,ORG
the ministry of agriculture and farmers welfare,ORG
Randeep Surjewala,PERSON
the All India Students Federation,ORG
Lasalgaon,GPE
MANTRA,ORG
Puran Rajwar,PERSON
Sahivara,GPE
Chandel,PERSON
Nitin Talle,PERSON
CAIT,ORG
Deori,GPE
Prabhudesai,PERSON
Manjit Singh,DIR
Mitauli,GPE
Raju Dange,PERSON
Madhepura,GPE
Mokshada Patil,PERSON
Manoj Kumar,POL
Senthilkumar,DIR
Batule,PERSON
Tea Board,ORG
Ananadapuram,GPE
Bhadradri Kothagudem,GPE
Periyathadagam Pirivu,GPE
Deepak Shravan Jadhav,PERSON
Maddikunta,GPE
Ashwartha Narayana,PERSON
Sudhanshu Dhulia,PERSON
Ambalia,PERSON
Gamara,PERSON
Princepal Singh,PERSON
Budha Dal,ORG
Rakbir Singh Sandhu,DIR
Mahinder Singh,POL
Ramvir Bidhuri,PERSON
AKPFA,ORG
BSSDC,ORG
Muthana,GPE
Pakistan Peoples Party,ORG
LONDON,GPE
Kalakuntla Rishika,PERSON
K Chandrasekhar Rao,POL
Mundha Pandey,GPE
the Punjab Mandi Board,ORG
Jayam,POL
Narsaiah,PERSON
Sonawane,PERSON
Sahib Singh,PERSON
PUNGRAIN,ORG
IFFCO Limited,ORG
Vijayababu,GPE
S Mohan,PERSON
Thipe,PERSON
Lata Mangeshkar,PERSON
Vinod Chaudhary,DIR
S Vimalanathan,PERSON
Jansath,GPE
Chennai,GPE
Kunduri Srinivas Reddy,PERSON
Inderjit Singh,POL
the Sohna Municipal Council,ORG
B G Kolse-Patil,PERSON
Trinamool Youth Congress,ORG
Dankuni,GPE
Alok Diwedi,PERSON
Ravneet Bittu,PERSON
Mohanur,GPE
Taleigao,GPE
Karachiya,GPE
B Vijaysen Reddy,PERSON
Agricultural Research Service,ORG
Tela,PERSON
Nalanda,GPE
Ranebennur,GPE
the state agriculture marketing board,ORG
Swarika Singh,POL
Patradevi,GPE
The Sayunkt Kisan Morcha,ORG
the Asia-Pacific Forestry Commission,ORG
(N Chandrababu) Naidu,POL
Madan Mohan,PERSON
Akhil Arora,DIR
Chandrakant ‘Babu’ Kavalekar,PERSON
Bangalore,GPE
Montreal,GPE
V S Sivakumar,PERSON
Prabhjot Bath,PERSON
the Narendra Modi,ORG
IGGMCH,ORG
Ahluwalia,PERSON
B Y Srinivas,PERSON
Ajoy Mehta,DIR
Bhumanshah Chowk,GPE
Pamini,DIR
Loliem Polem,GPE
Praveen P Nair,PERSON
Shree Ganesh Sai Services,ORG
Darshan Singh,POL
Himayathnagar,GPE
the Department of Extension Education and Communication Management,ORG
Poosapatirega,GPE
Dakshin,GPE
Vij,PERSON
Mafatiyapara,GPE
Sarkadi,GPE
Pratap Nagar,GPE
Sadar tehsil,GPE
Amul Dairy,ORG
Kishanpura,GPE
Airports Authority of India,ORG
Bipin Radadiya,PERSON
Sukhdev Singh Virk,PERSON
Pushpendra,PERSON
Chichli,GPE
Asida,GPE
Mangilal Bilot,PERSON
Sebastiana Rebello,PERSON
Khaatu,PERSON
Kasinathan,PERSON
The All Kerala Pineapple Farmers’ Association,ORG
Joginder Singh Ugrahgan,PERSON
Bolla Bramhanaidu,PERSON
Kanwar Daman Singh,PERSON
Karnatak,GPE
Nav Nirman Kisan Sanghatan Akshay Kumar,PERSON
Trimbak taluka,GPE
RAF,ORG
Thirumalaiyampalayam,GPE
Goa Velh,GPE
Harish Rao,PERSON
Attur,GPE
JNV Canacona,ORG
Shri Shivaji Agriculture College,ORG
Chandor,GPE
the Periyar Distributing Committee,ORG
Sandeep Faldesai,PERSON
the Punjab government,ORG
Lokayukta,ORG
Deriya ki,GPE
Rohit Trading Company,ORG
Dhanabhai Thakor,PERSON
Belghat ar,GPE
Hosahundi village,GPE
Srinivas Reddy’s,PERSON
Kheem Singh Jalal,PERSON
Phanideep,PERSON
Baghapurana,GPE
Swatantra Dev Singh,PERSON
Pathardi,GPE
Amarnath Mishra,PERSON
Santhal Parganas,GPE
Kirti Rana,PERSON
Kakumanu Bhagyavathi,PERSON
Moideen Meeran,PERSON
Nandigama Town,GPE
Civil Rights,ORG
Vidarbha Poultry Association,ORG
Sudha Bhardwaj,DIR
Sasikala,PERSON
Venkatesh Shinde,PERSON
Rampura Mishra,GPE
FSS,ORG
Peter John,PERSON
Satya Narayan Kunwar,PERSON
Rajsingh Ove,GPE
Paonar,GPE
M S University’s,ORG
Vaghnagar,GPE
Sildar,PERSON
Mali,GPE
Pratapgarh,GPE
Bhusawal,GPE
S Vijaykumar,PERSON
Subramaniam,PERSON
Mubarakpur,GPE
NABSanrakshan Trustee,ORG
MBS Hatcheries,ORG
Kulbir Singh,DIR
CBI,ORG
JABALPUR,GPE
J Madhuswamy,PERSON
Jasvinder,PERSON
Sanjeev Padwal,PERSON
the Sarbhan Minor Narmada Irrigation Co-operative Society Ltd,ORG
Akhilesh,POL
Waman,PERSON
Bangalore Wholesalers Association of Pulses and Food Grains,ORG
the Aurangabad Municipal Corporation,ORG
Ashwani Sharma,PERSON
Jamjodhpur,GPE
the Acharya N G Ranga Agriculture University,ORG
Madavu,GPE
West Nagpur,GPE
Akal Takht,GPE
Ajay Sahni,DIR
Lakhanbhog,GPE
Sathe,PERSON
RAJKOT,GPE
Srinivas Annapalli,PERSON
Nuh,PERSON
Tiroda,GPE
Jairam Ramesh,POL
Scotland,GPE
Khade,PERSON
Abhinav Gaurav,PERSON
Preeti Sharma Menon,PERSON
Mission,ORG
Baljeet Singh,PERSON
Anant Kulkarni,PERSON
Bhachau,GPE
Pochamma Colony,GPE
Jitendra Boora,PERSON
Naresh Kakkar,DIR
Dhanola village,GPE
Gayathri,POL
M/,ORG
BKU-Rajewal,ORG
Ajitabh Sharma,DIR
Panjuana village,GPE
P Kami Raju,PERSON
Dhule,GPE
Bapu Kuti,PERSON
South Delhi Municipal Corporation,ORG
Ganesh Hande,PERSON
Sanjiv Vashisht,PERSON
Pearson,ORG
Rajapur,GPE
Prasanna Belur,PERSON
The Dialogue and Development Commission of Delhi,ORG
the Haryana Space Applications Centre,ORG
Hinjewali,GPE
Container Corporation of India,ORG
R S Sodhi,PERSON
Kannad taluka,GPE
Kailesh Choudhary,POL
Dharmkot,GPE
Homai,PERSON
Somdutt,PERSON
ICAR-National Rice Research Institute,ORG
APM,ORG
K Venkat Ashok,PERSON
Krishnanagar,GPE
Dharani,PERSON
Narinder Chhikara,PERSON
Rachakonda,GPE
Ajay Malik,PERSON
the Haryana Congress Legislature Party,ORG
mins,ORG
Shivanshi Dahiya,PERSON
Iluppanatham,GPE
Shukartaal,GPE
Khed tehsil,GPE
Gunpura,GPE
Sahanpur,GPE
RDO,ORG
Jambu,PERSON
Gagandeep Singh Bedi,DIR
Balaram,PERSON
Y Pandu,PERSON
the Dairy Farmers Association,ORG
Vizhinjam,GPE
M Govindan,PERSON
Kinathukadavu,GPE
Udit Raj,POL
Yash Kumar,PERSON
Vilas Bolada,PERSON
Angrej Kaur,PERSON
Akash Varangiya,PERSON
Manji Sahib,GPE
Sadabhau Khot,PERSON
Lachya,PERSON
the USA-Punjab Investors’ Roundtable 2020,ORG
Nanora,GPE
the Bank of Baroda,ORG
the ICAR-Krishi Vigyan Kendra,ORG
Isanagar,GPE
Mooratganj,GPE
PRV,ORG
BKU (Ekta Ugraha,ORG
Mohammad Husaain,PERSON
the Forest Survey of India,ORG
Ninder village,GPE
Amit Pathak,DIR
Ram Bharose,POL
Eachampallam,GPE
HSC,ORG
the University School of Open Learning,ORG
Monte de Guirim,GPE
Jeeva,POL
Delhi Katra Expressway Kisan Sangharsh Committee,ORG
Siddaraju,POL
the Prime Minister’s Office,ORG
Dostpur village’s,GPE
Mahesh Joshi,PERSON
Gill,PERSON
the Muthamizh Arignar Translation Project,ORG
Sambaji Rao Awad,PERSON
Tushar Ghosh,PERSON
South Goa,GPE
Jajpur,GPE
Subbaian,PERSON
Rajiv Jain,DIR
Satranjipura,GPE
Satwinder Dass Heera,PERSON
Narasipura,GPE
the National Automatic Clearing House,ORG
Jayam Ravi's,PERSON
Sultanpur Lodhi,GPE
Antony P P Vettiyankal,PERSON
Kalpavriksha,GPE
Nivedita Shukla Verma,PERSON
Shariff Furtado,PERSON
S Manikandan,PERSON
M Padma Devender Reddy,PERSON
Khirniyan,GPE
Tiruchi Siva,POL
KVG,ORG
Zorwar,PERSON
Chaakali Devaraju,PERSON
Tukaram,PERSON
Citizen’s Foundation,ORG
Khet Singh Bhati,PERSON
Delhi Police's,ORG
Power Grid Corporation of India Ltd,ORG
MADHUBANI,GPE
Ranjit Singh,PERSON
Ajay Mistry,PERSON
Chidananda Reddy,PERSON
Guarav Grover,PERSON
KWA,ORG
Kanaka Durga Varadhi,GPE
Madhya Pradesh ’s,GPE
Koyilvazhi,GPE
Hara Bania,PERSON
Pakistan,GPE
Vikrant Choudhary,PERSON
KGMU,ORG
Accord,PERSON
Khara,GPE
the Sikh Forum,ORG
Makhan Singh Bhullar,PERSON
Kaushambi,GPE
U Bikshapathi,PERSON
Kurubur Shanthkumar,PERSON
Govind Electrical and Developers,ORG
Harcharan Singh Bains,PERSON
Makrana,GPE
All-India Kisan Sabha,ORG
the Mission for Integrated Development of Horticulture,ORG
Sanjeev Bajpai,PERSON
Banur,GPE
Mandhare,PERSON
Maheshpura village,GPE
Babu Ram Prajapati,PERSON
Hyderaba,GPE
Chautala-Asa Khera,ORG
S Ramasamy,PERSON
Sojan,PERSON
Vinod Barve,PERSON
Barshi taluka,GPE
Praveen Darekar,PERSON
Charan Waghmare,PERSON
Sanjeev Hans,DIR
Amritsar,GPE
V D Sha,PERSON
Shivadwaj,PERSON
Mani Damor,PERSON
a Special Investigation Team,ORG
Naib Tehsildar,PERSON
Neetu Singh,POL
EoW,ORG
Ajmer Singh,DIR
Pilibhit sadar,GPE
Seraikela,GPE
Premjith,PERSON
Adkire,GPE
Samaspur,GPE
Jagdip Singh Aulakh,PERSON
treasury,ORG
Kambrekar,PERSON
RKSSS,ORG
Bajpur,GPE
Bakhtu Kott,GPE
Piara Singh,PERSON
"Paris , France",GPE
Sahdih,GPE
Corona,GPE
Manali,GPE
Sukho Patel,PERSON
Kriandul,GPE
the Bhartiya Afeem Kisan Sangarsh Samiti,ORG
Siliguri,GPE
Hafed,PERSON
Dumad village,GPE
Kurudampalayam,GPE
Shastri Nagar,GPE
Mangapet,GPE
Paschim Express,ORG
Nampur,GPE
Moga,GPE
Baba Ram Singh,PERSON
Udupi,GPE
Howev,PERSON
Pooja Hegde,PERSON
Narendrasi,GPE
The Nilgiri Small Tea Growers & Farmers Development Society,ORG
Sayla taluka,GPE
Sakshi Sharma,DIR
Sudhir Sharma,IAS
Amloh,GPE
Y Subbarao,PERSON
Rajaram Meel,PERSON
Resham Singh,POL
MUMBAI/THANE,GPE
Kumari Selja,PERSON
Yogi Adityanth,PERSON
Knott's Scary Farm,ORG
Ch Vasantha,PERSON
Amit Kumar,POL
Dantiwas village,GPE
Ichak,GPE
BIKANER,GPE
Tarunsinh Jhala,PERSON
Santiyenthar Varma,PERSON
Rao,PERSON
Satbir Singh Dardi,DIR
Solan,GPE
PAU,ORG
West Bengal Assembly,ORG
Madhuri,PERSON
Broiler Poultry Farmers Association,ORG
the Indian Veterinary Research Institute,ORG
Amrik,PERSON
Bhakta Charan Das,POL
Sanjeev Suman,PERSON
Aman Poonia,PERSON
Jai Laiyyor Jai Kammai,GPE
Penguin,ORG
Makkena Venkata Subba Rao,PERSON
Shegaon,GPE
Pedda Rasalu,GPE
Ayodhya,GPE
Narinder Singh Joga,PERSON
Kundaraki,GPE
Bilsi,GPE
Mukund Arun Mane,PERSON
J P Nadda,PERSON
S Karmegam,PERSON
Boluvampatti,GPE
Munger,GPE
Hanasavadi village,GPE
Vaju Senjalia,PERSON
Jharkhand Rajya Kisan Sangharsh Samanvaya Samiti,ORG
Mangalore Chemicals and Fertilisers,ORG
the directorate of fisheries,ORG
Archeological Survey of India,ORG
Asrawal Khurd,GPE
Patil Constructions,ORG
Sukbir,PERSON
Girish Chodankar,PERSON
DEHRADUN,GPE
Sanjay Mittal,DIR
Anil Bonde,PERSON
Banda Agriculture University,ORG
Raj Thackeray,PERSON
the Uttar Pradesh Housing Board,ORG
Azossim-Mandur,GPE
Sonule village,GPE
Pradeep Karpe,PERSON
David Dhawan 's,PERSON
Jannayak Janata Party’s,ORG
Nagwa Jairam,GPE
Sarasan,GPE
Gopalapuram,GPE
Arvi,GPE
T K S Elangovan,POL
P Ashokumar,PERSON
MSEDCL,ORG
Vadagaon,GPE
Tilsada,GPE
Yeola taluka,GPE
the Tamil Nadu Pollution Control Board’s,ORG
BR Ambedkar,PERSON
Parliamentary,ORG
SKM,ORG
agricultura,ORG
Valji Solanki,PERSON
Nambur village,GPE
R Kamaraj,PERSON
T Ramraj,PERSON
Hathur,GPE
Harmanbeer Waraich,PERSON
Tadkal,GPE
K K Shailaja,PERSON
Patiala/Ambala,GPE
Chiroundi,GPE
Halcon,ORG
BBMP,ORG
Gumansinh Parmar,PERSON
Thangavelu,PERSON
Jhuljhuli village,GPE
Fatehabad,GPE
NaCSA,ORG
Vishnu Nataani,PERSON
Maliya,GPE
Chandi ki Taksal,GPE
Rajaram Singh,PERSON
Esanaipatti,GPE
Bhavdin,GPE
V Umashankar,POL
Punjab Agricultural University,ORG
Badal village,GPE
Ramnath Takale,PERSON
Kahmbhaliya,GPE
Niraj Attarsingh,PERSON
Surata,GPE
Shravan Ingale,PERSON
Don Bosco college of agriculture,ORG
Valayapettai,GPE
Sedappatti,GPE
Punjabiat,GPE
CNMCH,ORG
IPS,ORG
Tiranga,GPE
Anand Agricultural University ’s,ORG
Durga Nagar,GPE
Bhopal,GPE
Karikalan,POL
Tadoba Andhari Tiger Reserve,ORG
Raju Satapara,PERSON
SDMC,ORG
Manohal Lal Khattar,POL
Gawada Kunbi Velip Dhangar Federation,ORG
Gurpreet Singh Kangar,PERSON
Manak Singh,PERSON
Moonnilavu,GPE
Ashwani Mahajan,PERSON
Kottampatti,GPE
Power Corporation,ORG
K K Birla,PERSON
ASG Raju,PERSON
sangam,GPE
KR Pete,GPE
Gurjot Malhi,PERSON
Randhawa,PERSON
Nooojibalitha,GPE
TOM,ORG
The forest department,ORG
Narendra Modi ’s,PERSON
Manoj Srivastava,DIR
Krantikari,GPE
Dahod,GPE
CUDDALORE,GPE
Shrikant Dwivedi,PERSON
Podanur,GPE
Alappuzha,GPE
Kailash Choudhary,DIR
All-Farmers Associations’ Coordination Committee,ORG
Cherlapally,GPE
Suhas Kande,PERSON
Muringoor,GPE
Ram Kumar Gautam,POL
ministry of rural development,ORG
Kanhar,GPE
Nilavati,PERSON
VuMonic,ORG
Divine Nursing Home,ORG
Republic,GPE
Sirikonda village,GPE
Rajinder Singh Deep Singh Wala,PERSON
Neralagiri,GPE
Nandigama mandal,GPE
Veerpal Rathi,PERSON
Maheshpur Chirudih,GPE
Kalanidhi Naithani,PERSON
Kandhar,PERSON
Chittabari,GPE
Disve,PERSON
N Varaprasad,PERSON
Jayani,PERSON
Jammu and Kashmir,GPE
TimesView,ORG
Rai tehsil,GPE
Jitu Bhil,PERSON
Keoti,GPE
Jagmeet Singh,POL
Shoorveer Singh,DIR
Hanumat Devaragudda,PERSON
Patoda,GPE
P Jayamma,PERSON
publi,ORG
T Narasipur,GPE
Seeranaickenpalayam,GPE
Ramesh Wankhede,PERSON
Sewewala,PERSON
B C Patil,PERSON
Digambar Chavan,PERSON
Jagdish Chandra Kudiyal,PERSON
Bhim Singh Yadav,PERSON
Ranjeet Shinde,PERSON
Malwinder Singh,POL
Discom,ORG
Mussoorie,GPE
Hanumant Shelke,PERSON
Vadipatti,GPE
K Ramachandran,PERSON
Rajampet,GPE
Puliyur A Nagarajan,PERSON
Anand Mahto,POL
Segvasimli village,GPE
KUIDFC,ORG
CLP,ORG
Jacob Rees-Mogg,PERSON
Nathnagar,GPE
Atchampet,GPE
Kottivakkam,GPE
Ganesh Chathurti,PERSON
MGP,ORG
Tulsaram Choudhary,PERSON
Sangagiri,GPE
Bera,PERSON
BELAGAVI,GPE
NMAET,ORG
the Government of India,ORG
S Paramasivam,DIR
the Union ministry ’s,ORG
Kilvelur,GPE
Gharsana,GPE
Balka Suman,POL
Primary Agricultural Co-operative Society,ORG
Tushar Jani,POL
Aswaraopet,GPE
Jija Mata Nagar,GPE
District Majdoor Congress,ORG
Manpreet Sing,POL
Sachin Tendulkar,PERSON
Bhagu Patel,PERSON
Khanna,PERSON
Visakhapatnam Agency,ORG
Vellakinar,GPE
", Devesh Chaturvedi ,",PERSON
Panguni,GPE
Amarjit Singh,IAS
Rajesh Ranjan alias Pappu Yadav,POL
Insram Ali,PERSON
Krusak Sabha,GPE
Navi Mumbai Merchant Chamber,ORG
Pravin Kumar Dwivedi,PERSON
Rajnarayan Singh Yadav,PERSON
National Register of Citizens,ORG
Thukkalapatti village,GPE
Jagseer,PERSON
Ponda,GPE
Camarkhazan Farmers Association,ORG
Jayaprakash Reddy,PERSON
panchayat raj,ORG
Hasmukh Adhia,PERSON
Malegaon taluka,GPE
Dhanasekaran,PERSON
Malkeet Singh,PERSON
Sandip Patel,DIR
MSTC,ORG
Krishna Ghosh,DIR
Tundi,GPE
Ahil Ahmed,POL
a Spice Board,ORG
