Entity,Type
Bhata bandh,GPE
VK Sharma,PERSON
Aba Kale’s,PERSON
Manoj Durairaj,PERSON
Kotwali thana,GPE
Raja Pawar,PERSON
Kanneganti Ravi,PERSON
Wakure,PERSON
ADM,ORG
Manjhi,PERSON
Tafcorn,ORG
GSDA,ORG
Govind Ballabh Pant University,ORG
Kondapaka,GPE
Preeti,PERSON
Harrawala,GPE
Manoj Ghodke,PERSON
Pisabai Devnale,PERSON
Sridevi Wagh,PERSON
Govindpur,GPE
the Nagpur Municipal Corporation,ORG
Fasal Bima Yojana,PERSON
Maninderjit Singh Bawa Machhian,PERSON
Aam Admi Party,ORG
Mandeep Poonia,PERSON
Kuttanad,PERSON
Hiwari,GPE
Janamaithri,PERSON
Nangal Chaudhry,GPE
Paramasivam,PERSON
TISS,ORG
Zhang Sial,ORG
Mati,GPE
Vishwajit Rane,PERSON
Chari village,GPE
Farmers Protection Association,ORG
the Union finance ministry,ORG
Saraswata Ghogre,PERSON
BPCL,ORG
Pipli,PERSON
Sulur,GPE
Israel,GPE
Pratap Simha,PERSON
KIADB,ORG
the Lok Sabha,ORG
Urna,GPE
National Crime Record Bureau(NCRB,ORG
GC Bayya Reddy,PERSON
Ayub Yusuf Safiya,PERSON
Kisan Sangharsha Samanway Samiti,ORG
Uma,PERSON
Uttam,PERSON
Ghuman,PERSON
Punjab Mandi Board,ORG
Rajesh,PERSON
Montu,PERSON
Chhata,GPE
Thirumalaiyampalayam,GPE
UPSMA,ORG
Mandavkhed,GPE
BR Ambedkar,PERSON
Safa Kheri,GPE
Praveen Malik,PERSON
Khalsa,ORG
Kisan Sangarsh Coordination committee,ORG
BJP,ORG
Aswaraopet,GPE
Hanumanthapura,GPE
CAQM,ORG
Bansi Gurjar,PERSON
Buddhavanam Project,ORG
Ramanna,PERSON
Sree Sankaracharya University of Sanskrit,ORG
Ramdev Yadav,PERSON
Shrikant,PERSON
Alok Dubey,PERSON
Puliampatti,GPE
Rashtriya Kisan Maha Sangh,ORG
the Centre for Intangible Heritage Studies,ORG
Chhattisgarh Kisan Congress,ORG
Ajay Bhatt,PERSON
Dundigal,GPE
Satnam Singh Ahluwalia,PERSON
Shiv Kumar Trivedi,PERSON
Tughlakabad,GPE
Vadtal,GPE
Dadri,GPE
Meenakshi Lekhi,PERSON
TN Srinivasan,PERSON
Khaatu,PERSON
Sardar Shailendra Singh,PERSON
Surajmal,PERSON
Sydney,GPE
Sangwan,PERSON
Raj Bhavan,ORG
Sajeev Newar,PERSON
Tamil Nad,GPE
Raman Kashyap,PERSON
Kodangal,GPE
Joji Pe,PERSON
Kailash Satpute,PERSON
QRT,ORG
Ekta Parishad,ORG
a Supreme Court,ORG
AYUSH Society,ORG
Satish Kulkarni,PERSON
Iraz Raja,PERSON
Chinniyampalayam,GPE
Balveer Singh,PERSON
Priyanka Gandhi,PERSON
Smart Cities Mission,ORG
Narpat,PERSON
Reliance Industries,ORG
Mohammadi,GPE
Anil Yadav,PERSON
the Sanjivani Co-operative Sugar Factory,ORG
Una,GPE
Ayush Sinha,PERSON
Katargam,GPE
Vishal Malam,PERSON
Sukumar,PERSON
Nandurbar,GPE
B Sriramulu,PERSON
Tamilaga Vivasayigal Sangam,ORG
AN Sinha Institute of Social Studies,ORG
Vandana Ranade,PERSON
Puja Shahi,PERSON
Devanand,PERSON
NGO Foundation for Advancement of Agriculture and Rural Development,ORG
JALANDHAR,PERSON
Durai Velan,PERSON
Valsad-Dang ACB,ORG
Parlapally village,GPE
Thekkampatti M Pappammal,GPE
All Goa Civil Contractors’ Welfare Association,ORG
Baba Sadhu Singh Sarangpur,PERSON
Raitha Sangha,PERSON
Beet Vantangia,GPE
LAKHIMPUR KHERI:,GPE
Diwan,PERSON
the Akali Dal’s,ORG
Muthireddy Yadagiri Reddy,PERSON
Shambhu-Sardulgarh,GPE
Shahabad,GPE
Kisan Manch,ORG
Mangardah,GPE
Raghuwanshi,PERSON
Pimpalgaon APMC,ORG
Ashok Gajapathi Raju,PERSON
Kaliannan Gounder,PERSON
Mahatargaon,GPE
Ramayapatnam,GPE
US Naitam,GPE
Raikot/Jagraon,GPE
Vishal Bankar,PERSON
Rani,PERSON
Gularbhoj,GPE
Khadakwasla,GPE
Hardo Rattan,GPE
Rooppur Kamalu,GPE
Mayur Chavda,PERSON
Rajasthan Pragitisheel Mahila Andolan,ORG
Madikeri taluk,GPE
Perundurai,GPE
Thirupadaimaruthur,GPE
the Civil Supplies Corporation,ORG
Subrata Mandal,PERSON
Dasoju Sravan,PERSON
Vishal Gada,PERSON
Malika Virdi,PERSON
Pilibhit,PERSON
Namakkal district,GPE
Mahto,PERSON
Sironcha,GPE
West Champaran,GPE
Sanjeev Padwal,PERSON
DM,ORG
Sanjay Kolte,PERSON
Nanak Dev Ji,PERSON
ISRO,ORG
Shinda Singh,PERSON
Houses of Parliament,ORG
Matar,GPE
Subhash Rao,PERSON
Korwa Khurd,GPE
Nilesh,PERSON
Madan Pal,PERSON
M Manohar Reddy,PERSON
Krishna Sahu,PERSON
Wazir Singh,PERSON
Bari Bhujia,GPE
Nakhatrana,GPE
Luvkush,PERSON
Edappadi K Palaniswami,PERSON
Shanmugam,PERSON
Shyam Gaonkar,PERSON
Swamim,GPE
Sadhu Singh Dharamsot,PERSON
Saharsa,GPE
Haryana Jan Chetna Party,ORG
Ekta Dakonda,GPE
Telangana State Road Transport Corporation,ORG
Pali village,GPE
Ramdeora,GPE
Palayankudi,GPE
Kaprada,GPE
Jalka,GPE
Kamarajar,PERSON
Tangedco,GPE
Panchayat,GPE
Beni Prasad,PERSON
Kalmana,GPE
Anjar,GPE
Manappuram Constructions and Properties Limited,ORG
New York ’s,GPE
Indra,PERSON
Durgadas Kamat,PERSON
Jagannathan,PERSON
Oman,GPE
Angad,PERSON
Harpal Singh,PERSON
Bhupender Vedwala,PERSON
Pochamma Colony,GPE
Astha,GPE
Harpreet Kaur,PERSON
Anoopgarh,GPE
Disha,PERSON
ST Somashekar,PERSON
Robusta,ORG
Neknoor,GPE
Dilip Rajan,PERSON
TRCMPU,ORG
Seechewal,PERSON
Bhogaraju Pattabhi Seetharamiah,PERSON
Uzhavar Santhai,GPE
Hambran,GPE
NAWADA,GPE
Santosh,PERSON
Shahajahanpur,GPE
Irshad Sindhi,PERSON
Vathalai Anicut,GPE
CHIKKABALLAPUR,GPE
Singhu,GPE
Bhaguji Tengle,PERSON
Devgn,PERSON
K Veerapandi,PERSON
Yadaiah,PERSON
Raju Shetti,PERSON
CHITRAKOOT,GPE
Ichak,GPE
Priva,ORG
PK Goyal,PERSON
Ramkrishna ‘ Sudin ’ Dhavalikar,PERSON
M Balaji,PERSON
Tamil Nadu Banana Producers’ Group,GPE
Google Pay,ORG
WR,ORG
Raitha Sangha,ORG
Talaja taluka,GPE
Bodoland University,ORG
SLBC,ORG
IIM Rohtak,ORG
Mohinder Kaur,PERSON
Vishakhapatnam,GPE
Prasad,PERSON
Tinakal village,GPE
Digod,GPE
R Muthuraj,PERSON
Gurmakh Singh,PERSON
Nyay Manch,ORG
Rashtriya Muslim Morcha,ORG
Kot Manna,GPE
Kothiya,GPE
Chinnapuliyur,GPE
Bhandara,GPE
Penamalur,GPE
Badari,GPE
Smart Sugarcane Farmer,ORG
Amaravati Joint Action Committee,ORG
Shambhu Nath,PERSON
Ashish Kumar Dwivedi,PERSON
OUAT,ORG
Shaniwarwada,GPE
OPD,ORG
R B Singh,PERSON
Saw,PERSON
Umadevi,PERSON
Cornell University,ORG
Awadh Prant,GPE
Bhupinder Singh Mann,PERSON
T Ganga Rao,PERSON
Rajanna Sircilla,GPE
Chatarpur,GPE
Shubh Kirti Producer Company Limited,ORG
Prashant Thakre,PERSON
Devesh Chaturv,PERSON
MTech,ORG
Gaurav Gupta,PERSON
Trinamool Congress,ORG
Kantilal Bhuria,PERSON
FJCCI,ORG
Sivareddy,PERSON
Kota,PERSON
Kollegal,GPE
Prakasam Barrage,GPE
Thiruvalampozhil,GPE
Maniya,PERSON
Union,GPE
Behra,GPE
Bhupinder Singh Hooda,PERSON
Jeerahalli,GPE
Pratap Dighavkar,PERSON
Malavalli,GPE
Sushil Somwanshi,PERSON
Viswanathapuram,GPE
Khairatabad,GPE
AIIMS Delhi,ORG
Dehardun,GPE
Joshimath,GPE
the Central Reserve Police Force,ORG
MAYILADUTHURAI,GPE
Vaishali,GPE
Nanded Phata,GPE
Ki,PERSON
Pala Singh,PERSON
Devendra Gawas,PERSON
Mamat,PERSON
Vipul Parmar,PERSON
the Krishi Vigyan Kendra,ORG
Ghanpur,GPE
Bhutada,PERSON
Narmada Bachao,PERSON
Ghorpadi,GPE
Jogi,PERSON
Tractor Manufacturers Association,ORG
Manohar Lal Khattar’s,PERSON
Gautam Buddh Nagar,GPE
Bahujan Sama,PERSON
Balineni Srinivasa Reddy,PERSON
Kishori Pednekar,PERSON
Nagali,GPE
Imtiaz Jaleel,PERSON
Anup Chavan,PERSON
Tipeshwar,GPE
Ashok Ghuge,PERSON
K. Chandrasekhar Rao,PERSON
Umesh Mishra,PERSON
the Vidhan Sabha,ORG
Kammapalli village,GPE
Yogi ji,PERSON
Paratwada,GPE
Lakshman,PERSON
All Farmers Association’s Coordination Committee,ORG
Indian Railway Traffic Services,ORG
Khengar Patel,PERSON
Ambodi village,GPE
Vinaykumar Awate,PERSON
Yeragara village,GPE
Sarhad Dairy,ORG
Subhash Garg,PERSON
"Nurmahal, Jalandhar",GPE
Vekar,PERSON
M Manimaran,PERSON
Rohit Trading Company,ORG
Pargat Singh,PERSON
Kuldeep Yadav,PERSON
Vemar,GPE
Bhoi Foundation,ORG
Kandela khap,ORG
Kadiana,GPE
Deesa,GPE
Vinay Rathod,PERSON
Sahajanand Saraswati,PERSON
Avinash Jha,PERSON
the Joint Committee of Trade Union,ORG
Jetpur,GPE
Kasara Ghat,GPE
National Agriculture Development Programme,ORG
Daljinder,PERSON
Jitendra Singh,PERSON
Bharat Punarnirman abhiyan,PERSON
Chomu,GPE
Satish,PERSON
Central Bureau of Investigation,ORG
NITI Aayog,ORG
Kollampally village,GPE
Maloth Yakub,PERSON
Manimuthar,GPE
Bose Nagar,GPE
the Mahyco Private Limited,ORG
Canacona,ORG
Pramod Mahajan,PERSON
Western Avenue Residents’ Welfare Association,ORG
Satrem,GPE
Sara Ali Khan,PERSON
Skype,ORG
Ravi Menasinakai,PERSON
De,GPE
The Nationalist Congress Party,ORG
Anant Kulkarni,PERSON
Shiromani Akali Dal,PERSON
Ashok Mehta,PERSON
the Samyukta Kisan Morcha,ORG
SK Vali,PERSON
DDC,ORG
Sakharam Pednekar,PERSON
Dilip Bankar,PERSON
Kisan Ekta Morcha,ORG
Jharkhand Professional’s Congress Committee,ORG
Bedi,PERSON
Dheram Mandaria,GPE
Khodpakhindi village,GPE
Satyam,PERSON
Velip,PERSON
Bhartiya Communist party,ORG
Choti Badi Nagal,GPE
Mission Punjab,ORG
the Indian Council of Agricultural Research,ORG
Keshav Singh,PERSON
High Range Samrakshana Samithy,ORG
Anuraj,PERSON
the Rashtriya Lok Dal,ORG
Mahalgaon taluka,GPE
Pradeepkumar Jain,PERSON
K C Palaniswami,PERSON
Sikh Coalition’s,ORG
Biswas,PERSON
Murthy,PERSON
Gangavathi,GPE
Sharda Sinha,PERSON
Penguin,ORG
Vikal Pachar,PERSON
Directorate of Vocational Education and Training,ORG
Gumansinh Parmar,PERSON
IJAAR,ORG
Sangrur,GPE
Gayathri Sree Karthik,PERSON
Taraporewala,PERSON
Ramesh Barad,PERSON
Koduvalpara,GPE
Guarav Grover,PERSON
K C Padvi,PERSON
Telugu Desam,ORG
Vadgam,GPE
Narender Malik,PERSON
Subhash Phaldesai,PERSON
Prabhu Deva 's,PERSON
Padadhir,GPE
Jeetendra Kumar Mahto,PERSON
Ariyalur,GPE
SCDCC Bank,ORG
Keshava Rao,PERSON
Vasan,PERSON
Balkrushna Kadam,PERSON
Digras,GPE
Uttarakhand Congress,ORG
Simaria,GPE
Bharatiya Janata Party’s,ORG
Haryana State,ORG
FCRI,ORG
South Goa’s,GPE
G S Mathesh,PERSON
Pralhad,PERSON
T G Vinay,PERSON
Mahatma Gandhi National Rural Employment Guarantee Scheme,ORG
Tamilagam,GPE
Rupesh Kumar Singh,PERSON
Bhupender Tomar,PERSON
PIlibhit,GPE
Veppanthattai Cotton Research Station,ORG
Ganvir,PERSON
S Linganna,PERSON
TNAU,ORG
Devendra Yadav,PERSON
Sagar Hanumante,PERSON
Behror,GPE
Bhor,GPE
Dattawad-Sadalga,GPE
NCR,GPE
Sairam,GPE
Kandaleru,GPE
Gurjit Singh,PERSON
M S Arun Prasath,PERSON
Panneerselvam,PERSON
Rajrappa,GPE
Duddalwar,PERSON
Lokesh Kumar,PERSON
North Goa,GPE
Renu Devi,PERSON
Rajendra Rathore,PERSON
Navnath Kaspate,PERSON
Gulia,PERSON
the Periyar Canal Extension and Farmers Livelihood,ORG
Amrik Singh,PERSON
Manojkumar Sharma,PERSON
Delhi University,ORG
Rabindranath,PERSON
N Nageswara Rao,PERSON
Ravana,PERSON
Mission UP,ORG
Bhagwan Chavan,PERSON
Indian Institute of Research on Commercial Agriculture,ORG
Dehgam village,GPE
Kalveerampalayam,GPE
Hodenuru,GPE
Beel Akbarpur,GPE
Nandgarh village,GPE
All India Farmers Union,ORG
Commons,ORG
Poriyahat,GPE
Sikar,GPE
Pandhurli,GPE
The horticulture department,ORG
Sapit,PERSON
BKU Lakhowal,PERSON
PK Shelar,PERSON
Bharti Kisan Mazdur Union,ORG
Anaimalai,GPE
District Mandi Board,ORG
Partapur,GPE
Jaisa Organics,ORG
Ashleen Kaur Gill,PERSON
Keeladi village,GPE
Pilibhit district,GPE
Chatushrungi,GPE
Yeligehundi,GPE
Chandrasing Rajput,PERSON
Yogesh Khanna,PERSON
Gari Ajeeta,GPE
Gurnam Singh Chaurni,PERSON
PRTPD,ORG
Kannad taluka,GPE
Chevireddy,PERSON
Kansingh Bhati Kotdi,PERSON
Narela Mandi,GPE
the Mining and Geology department,ORG
Rajiv Malik,PERSON
Pothireddypadu,GPE
Hind Kisan Majdoor Simit,ORG
Palem,GPE
Sukbir,PERSON
Ravji Pawar,PERSON
Zadafiya,PERSON
Police,ORG
Pathanamthitta,GPE
Anita Bhadel,PERSON
Prakash Amte’s,PERSON
Haryana State Agricultural Marketing Board,ORG
UGDP,ORG
Ravali Khaddar,GPE
Gurkirat,PERSON
Dharmana Krishna Das,PERSON
M A Chinnasamy Gounder,PERSON
Narasingha Mishra,PERSON
Shergill,PERSON
The Maharashtra State Electricity Distribution Company Limited,ORG
Anklesh Rathwa,PERSON
the Panjab University Students’ Council,ORG
Federations of Self-Help Groups,ORG
A Ramurthi,PERSON
the College of Horticulture,ORG
Pu,PERSON
Nayakund,GPE
Patnem-Colomb,GPE
Jiyyamavalasa,GPE
Jagadeshwar Rao,PERSON
Shiva Sai Decorators,ORG
Nash,ORG
Allahabad,GPE
Mullanpur,GPE
Pooja,PERSON
Jacob Rees-Mogg,PERSON
Farmer Producer Group,ORG
Walled City,GPE
Gurvinder Kaur,PERSON
Ettarai village,GPE
Manoj Tyagi,PERSON
Sahebnagar,GPE
Tulio D’Souza,PERSON
the Goa Dairy's,ORG
QES,ORG
Sikhs for Justice,ORG
Digvijay Chautala,PERSON
Madhya Pradesh Cold Storage Association,ORG
Gandhidham,GPE
PDA,ORG
Mandalnath,GPE
Kankarbagh,GPE
Pelavade,GPE
AK Broiler,ORG
Mane,PERSON
Masani Barrage,GPE
Vishala Pandya,PERSON
Chennaraopet,GPE
Sai village,GPE
ShamlI,GPE
Joy Tirkey,PERSON
Jayant Patil,PERSON
Salkhan Murmu,PERSON
Mettukadau,GPE
Pradesh Congress Committee,ORG
Sidhbali Express,ORG
Subegh Singh,PERSON
Khamani,PERSON
Siruvachur,GPE
Rajesh Gayan,PERSON
Vivek Prakash,PERSON
Siddhartha Mahajan,PERSON
Thaneer,ORG
K D Yadav,PERSON
