id,entity,type,louv_community_weighted
189,Bharatiya Kisan Union ’s,ORG,3644
190,Bindu,POL,3644
191,Raiker,PERSON,3160
192,Kurasala Kannababu,PERSON,6619
193,K Aromatics,ORG,3160
194,Ambaliya,PERSON,12381
195,Adaikalam,PERSON,215
196,Fusey,ORG,3844
197,Narendra Parmar,PERSON,12381
198,Satish Poonia,PERSON,4688
199,Badgonda,GPE,13467
200,Gaondongrim,GPE,3160
201,Niranjan Reddy,PERSON,18149
202,Co-operative Milk Producers Union Limited,ORG,8841
203,Arjun Kapoor,DIR,6266
204,SMS Hospital,ORG,8841
205,Manak Singh,PERSON,4688
206,Jeetpura village,GPE,3644
207,Ramchandrapuram village,GPE,18149
208,Ansals,ORG,6619
209,Public Works Department,ORG,15549
210,The Amaravati Parirakshana Samiti,ORG,6619
211,Mahendra Soni,DIR,8841
212,Vargao,GPE,3160
213,Satpur,GPE,15549
214,Banda Agriculture University,ORG,3644
215,Trichy,PERSON,215
216,BKU,GPE,4688
217,the Nagpur Municipal Corporation,ORG,15549
218,Lakhisarai,GPE,10780
219,KOTTAYAM,PERSON,11194
220,Bharathi,DIR,215
221,The Sanyukta Kisan Morcha,ORG,4688
222,Jayaji Suryawanshi,PERSON,15549
223,Menasinahal,GPE,1527
224,Gingee,GPE,215
225,Gurpreet,PERSON,4688
226,Ashok Bhuyar,PERSON,18149
227,Malhola,GPE,3644
228,Koltes,PERSON,15549
229,Annaram Cheruvu,GPE,18149
230,National Institute of Immuno Haematology,ORG,15549
231,Kisan Maha Panchayat,ORG,3644
232,K S Mathew,PERSON,215
233,BELAGAVI,GPE,2763
234,JNV Canacona,ORG,3160
235,Beatles,PERSON,12381
236,S Linganna,PERSON,18149
237,S A Bobde,PERSON,4688
238,Shariff Furtado,PERSON,3160
239,Manoke,GPE,4688
240,S Surmukh Singh Virk,PERSON,4688
241,Chalakudy,GPE,215
242,Panvel,GPE,2763
243,A K Rajeev,PERSON,3644
244,the Uttar Pradesh Sugar Mills Association,ORG,8841
245,Shri Niwas,POL,3644
246,Mahavikas Aghadi,ORG,15549
247,Bharaitya Kisan Union,ORG,4688
248,Hidma,PERSON,3644
249,ICAR,ORG,3160
250,the agriculture produce marketing committee,ORG,15549
251,the Odisha State Cooperative Milk Producers Federation,ORG,15549
252,Vayalar,GPE,252
253,Rakesh Kumar Singh,DIR,10780
254,Cochin Cancer Research Centre,ORG,215
255,Rayadurga,GPE,2763
256,Alok Kumar,DIR,10780
257,Thakia,GPE,3644
258,CM,PERSON,4688
259,V K Soni,PERSON,4688
260,Akashdeep Singh Dhillon,PERSON,3644
261,Dilbag Singh,PERSON,4688
262,Hemant Ubale,PERSON,4229
263,Subash Rani,PERSON,4688
264,Hameernada village,GPE,15549
265,All India Power Engineers Federation,ORG,265
266,Dineshpur,GPE,3644
267,Ramtek,GPE,15549
268,Chugh,PERSON,4688
269,Jansewa Express,ORG,10780
270,Khola village,GPE,3160
271,Lingala,PERSON,6619
272,Suguna,ORG,215
273,M G Ramachandran’s,PERSON,215
274,Khwaja Hussain,PERSON,4688
275,Arda,GPE,15549
276,Nambivayal,GPE,215
277,Madathukkulam,GPE,215
278,Krishan Kumar Bedi,PERSON,4688
279,Richhaula,GPE,3644
280,Harish Kumar Verma,DIR,6266
281,the Centre for Sericulture and Biological Pest Control,ORG,15549
282,Mukesh Rathod,PERSON,12381
283,Sumeet Thakur,PERSON,15549
284,Rakesh Dhankad,PERSON,3644
285,G Venkatesh,PERSON,2763
286,Nachna,GPE,8841
287,Baroda Meo,GPE,8841
288,Dhinkia village,GPE,288
289,Ashok Chandna,POL,8841
290,Patamata,GPE,6619
291,Kotwali thana,GPE,15549
292,Airports Authority of India,ORG,2763
293,John Abraham,PERSON,2763
294,Panjuana village,GPE,4688
295,Koppu village,GPE,215
296,Gadkari,PERSON,15549
297,Urban Gro,ORG,1527
298,the National Capital Territory,GPE,4688
299,Bichya,PERSON,18149
300,DMU,ORG,15549
301,Krishnarajasagar,GPE,215
302,the Independent Power Plant (IPP,ORG,4688
303,East-West Seed India,ORG,6266
304,Katihar Krishi Vigyan Kendra,ORG,215
305,Govandi,ORG,10780
306,Barey,GPE,4688
307,PB Suresh Kumar,PERSON,11194
308,J,PERSON,8841
309,Kanu Solanki,PERSON,12381
310,Ghugus,GPE,15549
311,Coal India Limited,ORG,15549
312,Niti Aayog ’s,ORG,3644
313,the Karnataka Vikas Grameena Bank,ORG,4229
314,Harpal Singh Cheema,DIR,4688
315,Kripalsinh Rana,PERSON,1341
316,Jurala,GPE,18149
317,Agar Malwa,GPE,13467
318,Vijay Sampla,POL,4688
319,B Shankaraiah,PERSON,18149
320,Galiya,PERSON,3644
321,Harchand Singh Barsat,PERSON,4688
322,Baytoo,GPE,8841
323,Kumbakonam,GPE,215
324,Mansoorpur,GPE,3644
325,Bhumanshah Chowk,GPE,4688
326,Pawneet Kaur,DIR,15549
327,Poondi village,GPE,215
328,KT,PERSON,18149
329,S-NPP,ORG,3644
330,Virender Kanwar,DIR,6266
331,Dnyaneshwar Rakshe,PERSON,15549
332,Melaputhur,GPE,215
333,Koppal,GPE,2763
334,Prabhudas Manvar,PERSON,12381
335,the Punjab Assembly,ORG,4688
336,Kapren,GPE,8841
337,Apex,ORG,15549
338,Kulbir Singh,DIR,4688
339,Federation of Automobile Dealers Association,ORG,215
340,Uttarakha,GPE,3644
341,Piyush Baliyan,PERSON,3644
342,Narsampatnam,GPE,18149
343,All India Kisan Sangharsh Telangana State Convention,ORG,18149
344,Subhash Chandra Singh,PERSON,3644
345,Amit Khatri,PERSON,6619
346,Ashok Walunj,PERSON,15549
347,Dharamshi Muliya,PERSON,12381
348,Ramdhari Yadav,PERSON,3644
349,Dilip Mukati,PERSON,13467
350,Nitin Gadkari,PERSON,15549
351,Chandigarh-Mohali,GPE,937
352,Vijaya,PERSON,215
353,Prince Caterers,ORG,3003
354,Idupulapati Sitaramaiah,PERSON,6619
355,Siddique,PERSON,10780
356,Sarv Samaj,PERSON,4688
357,Western Zone,GPE,4688
358,Pettaivaithalai,GPE,215
359,Goa Velha,GPE,3160
360,Dhanpur,GPE,15549
361,Suresh Nimbalkar,PERSON,15549
362,Sameeran,PERSON,215
363,Kamrej,GPE,3644
364,Gopal Rao,PERSON,6619
365,Sugarcane Farmers’ Facilitation Committee,ORG,3160
366,Jadunath Sarkar,PERSON,3644
367,Virendra Singh Hooda,PERSON,4688
368,the Punjab Cabinet,ORG,4688
369,Vijay Sethupathi ’s,PERSON,369
370,Narinder Singh Joga,PERSON,4688
371,Paddhar,GPE,12381
372,Dudhli,GPE,3644
373,Bharatiya Kisan Union - Swaraj,ORG,3644
374,Vijay Dabhi,PERSON,12381
375,Center for Agricultural Sciences,ORG,6266
376,Kamra,GPE,15549
377,Ezhikkara,GPE,6266
378,MPEDA,ORG,4688
379,Ajay Kumar Sharma,POL,15549
380,Ashiyana,PERSON,12381
381,Anish Yadav,DIR,4688
382,Munshiram Pal,PERSON,3644
383,C P Joshi,POL,4688
384,Kashipur,GPE,3644
385,Subhashini Akurathi,PERSON,6619
386,Kozhijampara,GPE,11194
387,Kooniyur,GPE,215
388,Mahanteshappa,PERSON,2763
389,Ugrahan village,GPE,4688
390,Suniti,PERSON,3644
391,Rampravesh Verma,PERSON,3644
392,Kalyana,GPE,2763
393,Curti-Khandepar,GPE,3160
394,Anil Sareen,PERSON,4688
395,Barmer,ORG,8841
396,Nemom U P School,ORG,2763
397,G Sundaramoorthy,POL,215
398,Arpit Vijayavargiya,PERSON,4688
399,Kampli,GPE,2763
400,wron,ORG,3644
401,Ajay Singh Chautala,POL,4688
402,Chandu Manjadiparambil,PERSON,11194
403,VC,ORG,4688
404,Jasvir,PERSON,19072
405,Singla Group,ORG,4688
406,National Tiger Conservation Authority,ORG,6266
407,Jagjit Singh,DIR,4688
408,the Pusa Institute,ORG,4688
409,OBC,ORG,15549
410,Karatagi Rice Millers’ Association,ORG,2763
411,Shiromani Akali Dal(SAD,ORG,4688
412,M S Rafi,PERSON,17854
413,Gantawar,PERSON,15549
414,C M Thorat,PERSON,15549
415,Dhaula Kuan,GPE,8841
416,G Ranganathan,PERSON,215
417,Raju,PERSON,1341
418,Ram Pratap,POL,3644
419,Rajul Saxena,PERSON,3644
420,Swachh Bharat Mission,ORG,4688
421,the Wildlife Institute of India,ORG,15549
422,Inquilab Zindabad,GPE,4688
423,the Fifteenth Finance Commission,ORG,18149
424,Darma Reddy,PERSON,2763
425,Janala,GPE,15549
426,Kumeri,GPE,3160
427,Manesar,GPE,4688
428,A Rajashekar Reddy,PERSON,18149
429,Nargis,PERSON,15549
430,Dhanala,GPE,15549
431,Gulleppa,PERSON,6619
432,Pahadesharif,GPE,18149
433,", Reeta Singh",POL,215
434,Alampur Bodla,GPE,1341
435,the National Institute of Oceanography,ORG,3160
436,Ramba,GPE,4688
437,Shravani,PERSON,15549
438,Poonam Mahale,PERSON,3160
439,Jaan hai,PERSON,15549
440,Jeur,GPE,15549
441,Swadeshi,ORG,10780
442,Rawali,GPE,3644
443,LIP,ORG,4688
444,PJP,ORG,8841
445,UP State Horticultural Co-operative Marketing Federation,ORG,3644
446,Khirniyan,GPE,1341
447,Betiah,GPE,10780
448,Vijayapura,GPE,2763
449,Teni,PERSON,3644
450,Chainpur,GPE,10780
451,Moha village,GPE,15549
452,P Viswanathan,PERSON,215
453,Mahesh Singh,PERSON,8841
454,Mirzapur,GPE,3644
455,Karishma,PERSON,6266
456,Marten,PERSON,3644
457,Kannamedi,GPE,2763
458,Champatpur,GPE,3644
459,Kannad taluka,GPE,12251
460,Balluru,GPE,2763
461,Lalji Vala,PERSON,12381
462,Wisdom Islamic Organisation,ORG,215
463,Tilak Nagar,GPE,8841
464,Megha Kanwar,PERSON,4688
465,Shaan Mohammad,POL,3644
466,Rajura,GPE,15549
467,Jeerahalli,GPE,215
468,Mohana Mandi,GPE,8841
469,Mumtaz Ahmad Khan,PERSON,10780
470,Kodiyalam,GPE,215
471,Ajay Devgn,PERSON,6266
472,Ilav village,GPE,12381
473,Rajput,PERSON,473
474,Vandh,GPE,12381
475,Manjeet,PERSON,19072
476,Chatarpur,GPE,13467
477,Rajnarayan Singh Yadav,PERSON,4688
478,Bandi Sanjay,PERSON,18149
479,Ch Chalamaiah,PERSON,6619
480,Jayani,PERSON,4688
481,Krushna Jadhav,PERSON,15549
482,Amra Ram,POL,8841
483,Guru Teg Bahadur,PERSON,3644
484,MUZAFFARNAGAR,PERSON,4688
485,Savleram Kute,PERSON,15549
486,Nashik APMC,ORG,15549
487,Prabhu N Singh,POL,13467
488,Jhajjar,GPE,4688
489,Hudkeshwar,GPE,15549
490,Lakhminder Singh Jakhar,PERSON,4688
491,Anjangaon,GPE,18149
492,Dada Bhuse,PERSON,15549
493,Pradhan Mantri Awas Yojana,ORG,6619
494,Muzafarpur,GPE,10780
495,ANI,ORG,4688
496,Chadrapur,GPE,15549
497,N Vijayasundaram,PERSON,215
498,Goa Dairy,ORG,3160
499,Navdanya,ORG,499
500,Birpur,GPE,10780
501,Parel,GPE,8841
502,Somnath Mali,PERSON,15549
503,Niraj Warikoo,PERSON,6266
504,Punjabiat,GPE,4688
505,IMTI,ORG,6266
506,Ashish Mishra,DIR,3644
507,B Vinod Kumar,POL,18149
508,Anand,POL,12381
509,Muthumallesh,PERSON,215
510,Gour Malda,GPE,937
511,SC/ST Cell,ORG,12381
512,Rajkot Taluka,GPE,6266
513,NIE,ORG,6266
514,Taliban,ORG,937
515,Tulsiram Pandey,PERSON,3644
516,Hollywood,ORG,6266
517,Hardeep,PERSON,3644
518,Mangalapuram,GPE,215
519,Satyaprakash Tiwari,GPE,3644
520,Cherthala,GPE,11194
521,Meera Gujarati,PERSON,12381
522,Mokshagundam Visvesvaraya,PERSON,6266
523,Pushkar Singh,PERSON,3644
524,H’ble,ORG,6266
525,Moonak,GPE,4688
526,Hannu Singh,PERSON,8841
527,Harnaaz,PERSON,3644
528,Jammu and Kashmir,GPE,215
529,Udaibhanpura,GPE,8841
530,N Rajanikanth,PERSON,18149
531,Jagdish,POL,3644
532,Hosakote Basavaraj,PERSON,2763
533,Ghatampur,GPE,3644
534,J&K.,GPE,6266
535,Cala,GPE,2259
536,Sudha Narayanan,PERSON,15549
537,Trivedi,PERSON,13467
538,B R Gawai,PERSON,215
539,Jaydatta Holkar,PERSON,15549
540,Mahalingapuram,GPE,215
541,COAE&T,ORG,6266
542,Ranjeet Shinde,PERSON,15549
543,Ku Pa Krishnan,PERSON,215
544,Gogar Singh,PERSON,4688
545,Thirumalesh,PERSON,2763
546,Khodubhai Vala,PERSON,12381
547,Sanjay Tomar,PERSON,3644
548,Kauvery Hospital,ORG,215
549,Hemangi Patel,PERSON,12381
550,CR Paatil,PERSON,12381
551,All India Farmers Protesting Committee,ORG,215
552,Chowkri cooperative society’s,ORG,13467
553,K Narsimhulu,POL,18149
554,the Power Grid Corporation of India’s,ORG,215
555,BHOPAL,PERSON,13467
556,Gurdeep Singh Dhaliwal,PERSON,4688
557,Central Bank,ORG,4229
558,Nizampatnam mandal,GPE,1527
559,Singireddy Niranjan Reddy,PERSON,18149
560,NGT,ORG,6619
561,Karanjakala,GPE,3644
562,Directorate of Vigilance and Anti,ORG,215
563,Indian Space Research Organisation,ORG,15549
564,Karachi,GPE,564
565,Pudhur,GPE,215
566,Kadiri,GPE,2763
567,Karjun,GPE,12381
568,Rohad,GPE,4688
569,Khade,PERSON,569
570,Madhya Pradesh Cold Storage Association,ORG,570
571,Sadopur,GPE,4688
572,Puthur,GPE,215
573,Bhopala,PERSON,12381
574,PAU Teachers Association,ORG,4688
575,Bolina village,GPE,4688
576,Vasundhara Raje,POL,4688
577,Andheri,GPE,15549
578,Naththu Telradhe's,PERSON,18149
579,Madhukar Ganpat Hagawane,PERSON,15549
580,D Navaneethan Gopalakrishnan’s,PERSON,215
581,Santosh Singh Saluja,PERSON,3644
582,Don Bosco college of agriculture,ORG,3160
583,Jumsing Ratna Amaliyar,PERSON,12381
584,Dharamvir Singh,DIR,4688
585,Food Corporation of India,ORG,4688
586,Kaimla village,GPE,4688
587,Rythu Bharosa Kendras(RBKs,ORG,6619
588,Saxena,PERSON,3644
589,Nisha,PERSON,12381
590,Mathukur,GPE,215
591,Suraj Mehetre,PERSON,8841
592,Shambu,GPE,4688
593,the Jharkhand Gurdwara Prabandhak Committee,ORG,10780
594,Shankara,POL,18149
595,Yash Garg,PERSON,937
596,Hanumanthu,POL,18149
597,Fortune Rice Pvt Ltd,ORG,13467
598,ISI,ORG,8841
599,Jetpur,GPE,12381
600,Chandgad,GPE,15549
601,Nitesh Tumbda,PERSON,15549
602,Madhampalayam,GPE,215
603,Bhat,PERSON,3003
604,Silicon India,ORG,3644
605,CICU,ORG,4688
606,V Dakshinamoorthy,PERSON,606
607,Muktesh Chander,PERSON,4688
608,Naubasta,GPE,3644
609,Vishnukant,PERSON,2763
610,Majorda,GPE,3160
611,Rajinder Kumar,POL,4688
612,Vandana,PERSON,499
613,The National Bank for Agriculture and Rural Development,ORG,15549
614,Anil Mittal,DIR,4688
615,Rahul Karekar,PERSON,15549
616,Kuldiep Singh,POL,3644
617,Mainaguri,GPE,1561
618,City Chowk,GPE,15549
619,Komal Lamba,PERSON,4688
620,Om Sakthi Emu Farms,ORG,215
621,Meghpal Singh,PERSON,3644
622,Joost Geijer,PERSON,3644
623,Nashik/Kolhapur,GPE,15549
624,Nejia Khera,GPE,4688
625,Dugri,GPE,4688
626,Saphera,GPE,4688
627,Mundargi,GPE,2763
628,Bajna,GPE,3644
629,K Mani,POL,11194
630,Chidanand,PERSON,2763
631,Sisodia,PERSON,1527
632,Khandu Bodke,PERSON,15549
633,The office of sugar production,ORG,15549
634,Rashtriya Lok Dal’s,ORG,4688
635,Tihar,GPE,4688
636,Jass Bajwa,PERSON,937
637,Howrah Maidan,GPE,1561
638,Ashutosh Raghuvanshi,DIR,3644
639,Cuncolim,GPE,3160
640,", Jagtar Singh Bajwa",PERSON,3644
641,Yatri,GPE,3644
642,Visakha South,GPE,6619
643,Gharasana tehsil,GPE,8841
644,Pilgao,GPE,3160
645,NIZAMABAD,GPE,3644
646,KSCPCR,ORG,2763
647,Paalur village,GPE,215
648,Diego Gracias,PERSON,3160
649,Rajiv Kumar Gupta,DIR,12381
650,Narsinhasagar village,GPE,650
651,Raman Kashyap,PERSON,3644
652,ZAO,ORG,3160
653,Yashpal Chaudhary,PERSON,3644
654,the Malankara Mar Thoma Syrian Church,ORG,11194
655,Thanjavur,GPE,215
656,Rythu Bandhu Samithi,ORG,18149
657,the Bharatiya Kisan Union,ORG,3644
658,Khushbirsingh Chandol,PERSON,15549
659,Nagina,GPE,4688
660,Dhaurahra,GPE,3644
661,Stephen Kinnock,PERSON,6266
662,KORHA,GPE,10780
663,Madurai/Trichy,GPE,215
664,Gupteshwar Pandey,PERSON,10780
665,Hebbale,GPE,2763
666,All Farmers Organisations Coordination Committee,ORG,215
667,Bote,PERSON,15549
668,Saw,PERSON,10780
669,Valsad Navsari Jilla Fal Ane Shakbhaji Sahakari Sangh Ltd,ORG,12381
670,Sivaganga,GPE,215
671,Bollywood,GPE,6266
672,Harsimrat ji,PERSON,4688
673,Maval,GPE,15549
674,Sandeep Mahta,DIR,8841
675,Mahindra,ORG,15549
676,Chintala,PERSON,3644
677,Sujith Swaminikarthil,PERSON,11194
678,M Murugesan,PERSON,215
679,PUNSUP,ORG,937
680,Deori,GPE,15549
681,Centre for Development Economics and Innovation Studies,ORG,13467
682,Geeta Arun Mane,PERSON,15549
683,Ja,PERSON,19072
684,Nashik Municipal Corporation,ORG,15549
685,Raniganj,GPE,1561
686,Aman Saini,PERSON,12381
687,Shanshad Ansari,PERSON,3644
688,Muddutla village,GPE,18149
689,Lothpur,GPE,12381
690,Radhakrishna Mhetre Sharda Raut,PERSON,15549
691,The Union government,ORG,15549
692,Shankar Trading Company,ORG,692
693,Saheb Singh Sekhon,PERSON,15549
694,Tilam Union,ORG,4688
695,Chinnagoundampatty,GPE,3644
696,Virendra Singh,POL,3644
697,Valsad-Dang ACB,ORG,12381
698,Praful,PERSON,12381
699,Chikhli,GPE,12381
700,Parveen Kamboj’s,PERSON,19072
701,Rajnish Kumar,POL,2763
702,M S Ramachandra Rao,PERSON,18149
703,Vamshi,PERSON,18149
704,Kantilal Bhuria,POL,13467
705,H J Thakkar,PERSON,3644
706,Prachi Sathe,PERSON,15549
707,Punjab Arhtiyas Association,ORG,4688
708,Basanta,GPE,3644
709,Ashok Kondiba Sathe,PERSON,15549
710,Mandavgan Farata,GPE,15549
711,Inderjit Singh,POL,4688
712,Machhli village,GPE,3644
713,Party,ORG,4688
714,Teaserve,ORG,215
715,Syro-Malabar Church,ORG,11194
716,the Harco Bank,ORG,4688
717,Palanpur,GPE,12381
718,Pishora Singh,PERSON,4688
719,Nandgarh village,GPE,4688
720,Siruvachur,GPE,215
721,Machnoor,GPE,18149
722,Kankerkhera,GPE,3644
723,Bhudaiah,PERSON,18149
724,WTO,ORG,6266
725,Jamui,GPE,10780
726,Raja Dudhbade,PERSON,15549
727,Avinash Singh,PERSON,3644
728,Ch Srinivasulu,PERSON,6619
729,Shubham Mishra,PERSON,3644
730,Ravan,GPE,3160
731,Mother Theresa University,ORG,215
732,Jawaja,GPE,8841
733,SRSP,ORG,18149
734,state agricultural department,ORG,15549
735,Sarabjit,PERSON,4688
736,Sushil Khedkar,PERSON,15549
737,Avinash Chandra Maurya,PERSON,3644
738,Pramod Kumar Joshi,PERSON,1527
739,Boraki,GPE,3644
740,Vyttila,GPE,11194
741,Seraulim,GPE,3160
742,Krishi Vigyan Kendra,ORG,215
743,Dharbandorawould,GPE,3160
744,Nilesh Mandlewala,PERSON,12381
745,Siddaraju,POL,2763
746,Srusti Patil,PERSON,2763
747,Roshan Mahatme,PERSON,15549
748,JFarm,ORG,15549
749,Subhash Shelke,PERSON,15549
750,Jeeyapuram C Kokila,PERSON,215
751,Ram Govind Chaudhary,PERSON,3644
752,Bhiknoor Town,GPE,18149
753,Mohammed Alliuddin,POL,15549
754,Rivona,GPE,3160
755,Guru Gobind Singh,PERSON,8841
756,Yudhishter Singh,DIR,4688
757,Santosh Kumar,POL,3644
758,AN Sinha Institute of Social Studies,ORG,10780
759,Prasanna,DIR,3160
760,Randive,PERSON,15549
761,Paratwada,GPE,15549
762,Ahmedabad/Rajkot,GPE,12381
763,Kishore Reddy,PERSON,6619
764,Bhera Luhar,PERSON,2763
765,Muthuraja,PERSON,215
766,ISRO,ORG,12381
767,Sethubavachathiram,GPE,215
768,Barshi taluka,GPE,15549
769,Koderma,GPE,10780
770,Veernapalli,GPE,18149
771,Ashok Joshi,DIR,3160
772,Manjunath,POL,2763
773,Jain,PERSON,15549
774,Severa,PERSON,3644
775,P R Natarajan,PERSON,215
776,Madhapur,GPE,18149
777,Goa Forward Party,ORG,4688
778,Kasba,GPE,10780
779,MGP,ORG,3160
780,Satrem,GPE,3160
781,Dnyaneshwar Nivrutti Garad,PERSON,15549
782,Jadamangalam,GPE,215
